;Name;Worldwide;MovieType;Director;Duration;Year;Country
0;Home Alone;285761244;Aile;Chris Columbus;103;1990;ABD
1;Ghost;217631306;Dram;Jerry Zucker;127;1990;ABD
2;Pretty Woman;178406268;Komedi;Garry Marshall;119;1990;ABD
3;Teenage Mutant Ninja Turtles;135265915;Bilim Kurgu;Jonathan Liebesman;101;2014;ABD
4;Teenage Mutant Ninja Turtles;135265915;Bilim Kurgu;Steve Barron;93;1990;Multi Nation
5;Teenage Mutant Ninja Turtles;485004754;Bilim Kurgu;Jonathan Liebesman;101;2014;ABD
6;Teenage Mutant Ninja Turtles;485004754;Bilim Kurgu;Steve Barron;93;1990;Multi Nation
7;Total Recall;119394840;Bilim Kurgu;Len Wiseman;118;2012;Multi Nation
8;Total Recall;119394840;Bilim Kurgu;Paul Verhoeven;113;1990;ABD
9;Total Recall;198467168;Bilim Kurgu;Len Wiseman;118;2012;Multi Nation
10;Total Recall;198467168;Bilim Kurgu;Paul Verhoeven;113;1990;ABD
11;Die Hard 2;117540947;Aksiyon;Renny Harlin;124;1990;ABD
12;Kindergarten Cop;91457688;Komedi;Ivan Reitman;111;1990;ABD
13;Back to the Future Part III;87727583;Bilim Kurgu;Robert Zemeckis;119;1990;ABD
14;Flatliners;61489265;Bilim Kurgu;Joel Schumacher;115;1990;ABD
15;Flatliners;61489265;Dram;Niels Arden Oplev;111;2017;ABD
16;Flatliners;45158254;Bilim Kurgu;Joel Schumacher;115;1990;ABD
17;Flatliners;45158254;Dram;Niels Arden Oplev;111;2017;ABD
18;Misery;61276872;Dram;Rob Reiner;107;1990;ABD
19;Edward Scissorhands;56362352;Dram;Tim Burton;105;1990;ABD
20;Problem Child;53470891;Aile;Dennis Dugan;81;1990;ABD
21;Awakenings;52096475;Dram;Penny Marshall;120;1990;ABD
22;Look Who's Talking Too;47789074;Komedi;Amy Heckerling;81;1990;ABD
23;Goodfellas;46836214;Dram;Martin Scorsese;145;1990;ABD
24;Gremlins 2: The New Batch;41482207;Fantastik;Joe Dante;106;1990;ABD
25;Rocky V;40946358;Dram;John G. Avildsen;104;1990;ABD
26;Predator 2;30669413;Bilim Kurgu;Stephen Hopkins;108;1990;ABD
27;Child's Play 2;28501605;Gerilim;John Lafia;84;1990;ABD
28;Jacob's Ladder;26118851;Dram;Adrian Lyne;113;1990;ABD
29;The Rookie;21633874;Aile;John Lee Hancock;127;2002;ABD
30;The Rookie;80693537;Aile;John Lee Hancock;127;2002;ABD
31;Hamlet;20710451;Dram;Kenneth Branagh;242;1996;Multi Nation
32;Hamlet;20710451;Dram;Franco Zeffirelli;130;1990;Multi Nation
33;Hamlet;4739189;Dram;Kenneth Branagh;242;1996;Multi Nation
34;Hamlet;4739189;Dram;Franco Zeffirelli;130;1990;Multi Nation
35;Hamlet;2046433;Dram;Kenneth Branagh;242;1996;Multi Nation
36;Hamlet;2046433;Dram;Franco Zeffirelli;130;1990;Multi Nation
37;The Guardian;17037887;Aksiyon;Andrew Davis;139;2006;ABD
38;The Guardian;94973540;Aksiyon;Andrew Davis;139;2006;ABD
39;Tremors;16667084;Bilim Kurgu;Ron Underwood;96;1990;ABD
40;Lord of the Flies;13985225;Dram;Harry Hook;91;1990;ABD
41;Miller's Crossing;5080409;Dram;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";115;1990;ABD
42;The Sheltering Sky;2075084;Dram;Bernardo Bertolucci;138;1990;Multi Nation
43;Beauty and the Beast;248802521;Aile;Bill Condon;129;2017;ABD
44;Beauty and the Beast;47430624;Aile;Bill Condon;129;2017;ABD
45;Beauty and the Beast;1263521126;Aile;Bill Condon;129;2017;ABD
46;Terminator 2: Judgment Day;204843345;Bilim Kurgu;James Cameron;156;1991;Multi Nation
47;Robin Hood: Prince of Thieves;165493908;Aksiyon;Kevin Reynolds;143;1991;ABD
48;Hook;119654823;Aile;Steven Spielberg;142;1991;ABD
49;The Addams Family;113502426;Fantastik;Barry Sonnenfeld;99;1991;ABD
50;The Addams Family;203044905;Fantastik;Barry Sonnenfeld;99;1991;ABD
51;Fried Green Tomatoes;82418501;Dram;Jon Avnet;130;1991;ABD
52;Cape Fear;79091969;Gerilim;Martin Scorsese;128;1991;ABD
53;JFK;70405498;Dram;Oliver Stone;189;1991;Multi Nation
54;My Girl;59489799;Dram;Howard Zieff;103;1991;ABD
55;Thelma & Louise;45454078;Dram;Ridley Scott;130;1991;Multi Nation
56;Point Break;43218387;Aksiyon;Kathryn Bigelow;122;1991;Multi Nation
57;Point Break;43218387;Aksiyon;Ericson Core;113;2015;Multi Nation
58;Point Break;133782481;Aksiyon;Kathryn Bigelow;122;1991;Multi Nation
59;Point Break;133782481;Aksiyon;Ericson Core;113;2015;Multi Nation
60;The Fisher King;41895491;Dram;Terry Gilliam;138;1991;ABD
61;Freddy's Dead: The Final Nightmare;34872033;Gerilim;Rachel Talalay;89;1991;ABD
62;The Doors;34494884;Dram;Oliver Stone;140;1991;ABD
63;Dying Young;33669178;Dram;Joel Schumacher;111;1991;ABD
64;Double Impact;30102717;Aksiyon;Sheldon Lettich;110;1991;ABD
65;Problem Child 2;25104700;Aile;Brian Levant;90;1991;ABD
66;Lionheart;24078196;Aksiyon;Sheldon Lettich;105;1990;ABD
67;Oscar;23562716;Komedi;John Landis;109;1991;ABD
68;Child's Play 3;14960255;Gerilim;Jack Bender;90;1991;ABD
69;Not Without My Daughter;14789113;Dram;Brian Gilbert;116;1991;ABD
70;Rush;7241350;Aksiyon;Ron Howard;123;2013;Multi Nation
71;Rush;95224595;Aksiyon;Ron Howard;123;2013;Multi Nation
72;My Own Private Idaho;6401336;Dram;Gus Van Sant;104;1991;ABD
73;Barton Fink;6153939;Dram;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";117;1991;Multi Nation
74;Everybody's Fine;1745470;Dram;Kirk Jones;99;2009;ABD
75;The Unborn;1159578;Gerilim;David S. Goyer;87;2009;ABD
76;The Unborn;76514050;Gerilim;David S. Goyer;87;2009;ABD
77;Aladdin;346476295;Aile;Guy Ritchie;127;2019;ABD
78;Aladdin;346476295;Aile;Guy Ritchie;127;2019;ABD
79;Aladdin;346476295;Animasyon;"Ron Clements
                                        ,                                                                                                                     John Musker";95;1992;ABD
80;Aladdin;1050693953;Aile;Guy Ritchie;127;2019;ABD
81;Aladdin;1050693953;Aile;Guy Ritchie;127;2019;ABD
82;Aladdin;1050693953;Animasyon;"Ron Clements
                                        ,                                                                                                                     John Musker";95;1992;ABD
83;Batman Returns;266831698;Aksiyon;Tim Burton;126;1992;ABD
84;Home Alone 2: Lost in New York;173585516;Aile;Chris Columbus;120;1992;ABD
85;Lethal Weapon 3;144731527;Aksiyon;Richard Donner;118;1992;ABD
86;A Few Good Men;141354048;Dram;Rob Reiner;138;1992;ABD
87;Sister Act;139605150;Komedi;Emile Ardolino;100;1992;ABD
88;The Bodyguard;121945720;Aksiyon;Mick Jackson;129;1992;ABD
89;Basic Instinct;117727224;Gerilim;Paul Verhoeven;127;1992;Multi Nation
90;Unforgiven;101157447;Western;Clint Eastwood;130;1992;ABD
91;Bram Stoker's Dracula;82522790;Korku;Francis Ford Coppola;128;1992;ABD
92;White Men Can't Jump;76253806;Dram;Ron Shelton;115;1992;ABD
93;Death Becomes Her;58422650;Fantastik;Robert Zemeckis;104;1992;ABD
94;Beethoven;57114049;Aile;Brian Levant;87;1992;ABD
95;Forever Young;55956187;Bilim Kurgu;Steve Miner;102;1992;ABD
96;Forever Young;59981902;Bilim Kurgu;Steve Miner;102;1992;ABD
97;Forever Young;119055731;Bilim Kurgu;Steve Miner;102;1992;ABD
98;Malcolm X;48169910;Dram;Spike Lee;202;1992;ABD
99;Passenger 57;44065653;Aksiyon;Kevin Hooks;84;1992;ABD
100;A River Runs Through It;43440294;Aile;Robert Redford;123;1992;ABD
101;Universal Soldier;36299898;Bilim Kurgu;Roland Emmerich;102;1992;ABD
102;3 Ninjas;29000301;Aile;Jon Turteltaub;84;1992;ABD
103;Stop! Or My Mom Will Shoot;28411210;Aksiyon;Roger Spottiswoode;87;1992;ABD
104;Candyman;25792310;Dram;Bernard Rose;100;1992;ABD
105;Candyman;77411570;Dram;Bernard Rose;100;1992;ABD
106;Pet Sematary II;17092453;Korku;Mary Lambert;100;1992;ABD
107;Trespass;13249535;Gerilim;Joel Schumacher;91;2011;ABD
108;Chaplin;9493259;Dram;Richard Attenborough;143;1992;Multi Nation
109;Gladiator;9223441;Aksiyon;Ridley Scott;171;2000;Multi Nation
110;Gladiator;460583960;Aksiyon;Ridley Scott;171;2000;Multi Nation
111;Of Mice and Men;5471088;Dram;Gary Sinise;110;1992;ABD
112;Reservoir Dogs;2832029;Gerilim;Quentin Tarantino;99;1992;ABD
113;Poison Ivy;1829804;Dram;Katt Shea;92;1992;ABD
114;Delicatessen;1794187;Bilim Kurgu;"Jean Pierre Jeunet
                                        ,                                                                                                                     Marc Caro";99;1991;Fransa
115;Rampage;796368;Bilim Kurgu;Brad Peyton;108;2018;ABD
116;Rampage;428128233;Bilim Kurgu;Brad Peyton;108;2018;ABD
117;Proof;524668;Dram;John Madden;101;2005;ABD
118;Proof;14189860;Dram;John Madden;101;2005;ABD
119;Jurassic Park;978167947;Bilim Kurgu;Steven Spielberg;127;1993;ABD
120;Mrs. Doubtfire;219195243;Aile;Chris Columbus;125;1993;ABD
121;The Fugitive;183875760;Aksiyon;Andrew Davis;131;1993;ABD
122;The Firm;158348367;Dram;Sydney Pollack;154;1993;ABD
123;Sleepless in Seattle;126680884;Dram;Nora Ephron;105;1993;ABD
124;Indecent Proposal;106614059;Dram;Adrian Lyne;117;1993;ABD
125;The Pelican Brief;100768056;Gerilim;Alan J. Pakula;141;1993;ABD
126;Schindler's List;96065768;Dram;Steven Spielberg;195;1993;ABD
127;Cliffhanger;84049211;Aksiyon;Renny Harlin;112;1993;Multi Nation
128;Philadelphia;77446440;Dram;Jonathan Demme;126;1993;ABD
129;Groundhog Day;70906973;Dram;Harold Ramis;101;1993;ABD
130;Demolition Man;58055768;Bilim Kurgu;Marco Brambilla;115;1993;ABD
131;The Three Musketeers;53898845;Aksiyon;Paul W.S. Anderson;110;2011;Multi Nation
132;The Three Musketeers;132274484;Aksiyon;Paul W.S. Anderson;110;2011;Multi Nation
133;Beethoven's 2nd;53443066;Aile;Rod Daniel;89;1993;ABD
134;The Nightmare Before Christmas;50003043;Animasyon;Henry Selick;73;1993;ABD
135;Addams Family Values;48919043;Aile;"Scott Rudin
                                        ,                                                                                                                     Barry Sonnenfeld
                                        ,                                                                                                                     David Nicksay
                                        ,                                                                                                                     Susan Ringo";94;1993;ABD
136;Malice;46405336;Gerilim;Harold Becker;107;1993;ABD
137;The Good Son;44789789;Dram;Joseph Ruben;87;1993;ABD
138;Teenage Mutant Ninja Turtles III;42273609;Bilim Kurgu;Stuart Gillard;96;1993;Multi Nation
139;Falling Down;40903593;Dram;Joel Schumacher;113;1993;ABD
140;The Piano;40157856;Dram;Jane Campion;121;1993;Multi Nation
141;Carlito's Way;36948322;Dram;Brian De Palma;144;1993;ABD
142;Alive;36733909;Dram;Frank Marshall;127;1993;ABD
143;Hard Target;32589677;Aksiyon;John Woo;97;1993;ABD
144;A Perfect World;31130999;Dram;Clint Eastwood;138;1993;ABD
145;Benny & Joon;23261580;Dram;Jeremiah S. Chechik;98;1993;ABD
146;Coneheads;21274717;Bilim Kurgu;Steve Barron;87;1993;ABD
147;A Bronx Tale;17287898;Dram;Robert De Niro;121;1993;ABD
148;Jason Goes to Hell: The Final Friday;15935068;Korku;Adam Marcus;88;1993;ABD
149;True Romance;13088778;Aksiyon;Tony Scott;120;1993;Multi Nation
150;What's Eating Gilbert Grape;10032765;Dram;Lasse Hallström;118;1993;ABD
151;Lorenzo's Oil;7286388;Dram;George Miller;129;1992;ABD
152;Fearless;6995302;Aksiyon;Ronny Yu;103;2006;Multi Nation
153;Fearless;68072848;Aksiyon;Ronny Yu;103;2006;Multi Nation
154;This Boy's Life;4104962;Dram;Michael Caton-Jones;115;1993;ABD
155;Kalifornia;2395231;Gerilim;Dominic Sena;117;1993;ABD
156;El Mariachi;2040920;Aksiyon;Robert Rodriguez;81;1992;Multi Nation
157;Naked;1769305;Dram;Mike Leigh;131;1993;?ngiltere
158;Baraka;1254237;Belgesel;Ron Fricke;97;1992;ABD
159;The Lion King;763455561;Animasyon;"Roger Allers
                                        ,                                                                                                                     Rob Minkoff";88;1994;ABD
160;The Lion King;763455561;Animasyon;Jon Favreau;118;2019;ABD
161;The Lion King;1656943394;Animasyon;"Roger Allers
                                        ,                                                                                                                     Rob Minkoff";88;1994;ABD
162;The Lion King;1656943394;Animasyon;Jon Favreau;118;2019;ABD
163;Forrest Gump;329694499;Dram;Robert Zemeckis;142;1994;ABD
164;True Lies;146282411;Aksiyon;James Cameron;141;1994;ABD
165;The Flintstones;130531208;Aile;Brian Levant;91;1994;ABD
166;Speed;121248145;Aksiyon;Jan de Bont;116;1994;ABD
167;The Mask;119938730;Fantastik;Chuck Russell;101;1994;ABD
168;Pulp Fiction;107930019;Gerilim;Quentin Tarantino;154;1994;ABD
169;Interview with the Vampire: The Vampire Chronicles;105295870;Dram;Neil Jordan;123;1994;ABD
170;Maverick;101631272;Aksiyon;Richard Donner;127;1994;ABD
171;Street Fighter;99431786;Aksiyon;Steven E. de Souza;102;1994;Multi Nation
172;Disclosure;83015089;Dram;Barry Levinson;128;1994;ABD
173;Ace Ventura: Pet Detective;72217396;Gizem;Tom Shadyac;86;1994;ABD
174;Stargate;71567262;Bilim Kurgu;Roland Emmerich;130;1994;Multi Nation
175;Wolf;65002597;Dram;Mike Nichols;125;1994;ABD
176;The Specialist;57362582;Aksiyon;Luis Llosa;110;1994;ABD
177;Naked Gun 33 1/3: The Final Insult;51132598;Komedi;Peter Segal;83;1994;ABD
178;The Crow;50693129;Aksiyon;Alex Proyas;102;1994;ABD
179;Natural Born Killers;50282766;Dram;Oliver Stone;118;1994;ABD
180;Little Women;50083616;Dram;Gillian Armstrong;115;1994;ABD
181;Little Women;218843645;Dram;Gillian Armstrong;115;1994;ABD
182;Timecop;44853581;Bilim Kurgu;Peter Hyams;99;1994;Multi Nation
183;The Jungle Book;43229904;Aile;Jon Favreau;103;2016;Multi Nation
184;The Jungle Book;966550600;Aile;Jon Favreau;103;2016;Multi Nation
185;Richie Rich;38087756;Aile;Donald Petrie;95;1994;ABD
186;Junior;36763355;Bilim Kurgu;Ivan Reitman;109;1994;ABD
187;Nell;33683817;Dram;Michael Apted;112;1994;ABD
188;The Shawshank Redemption;28341469;Dram;Frank Darabont;142;1994;ABD
189;I.Q.;26381221;Dram;Fred Schepisi;100;1994;ABD
190;Frankenstein;22006296;Bilim Kurgu;Paul McGuigan;109;2015;Multi Nation
191;Reality Bites;20982557;Dram;Ben Stiller;99;1994;ABD
192;Only You;20059210;Komedi;Norman Jewison;115;1994;ABD
193;New Nightmare;19721741;Fantastik;Wes Craven;112;1994;ABD
194;My Girl 2;17359799;Aile;Howard Zieff;99;1994;ABD
195;Baby's Day Out;16827402;Aile;Patrick Read Johnson;99;1994;ABD
196;No Escape;15339030;Gerilim;John Erick Dowdle;103;2015;ABD
197;No Escape;54418872;Gerilim;John Erick Dowdle;103;2015;ABD
198;Immortal Beloved;9914409;Dram;Bernard Rose;121;1994;ABD
199;Ed Wood;5887457;Dram;Tim Burton;127;1994;ABD
200;The Hudsucker Proxy;2816518;Dram;Joel Coen;111;1994;Multi Nation
201;Bitter Moon;1862805;Dram;Roman Polanski;139;1992;Multi Nation
202;Toy Story;244651588;Animasyon;John Lasseter;81;1995;ABD
203;Apollo 13;223837411;Dram;Ron Howard;140;1995;ABD
204;Batman Forever;184031112;Aksiyon;Joel Schumacher;121;1995;ABD
205;Pocahontas;141579773;Animasyon;"Mike Gabriel
                                        ,                                                                                                                     Eric Goldberg";81;1995;ABD
206;Ace Ventura: When Nature Calls;108385533;Komedi;Steve Oedekerk;90;1995;ABD
207;GoldenEye;106429941;Aksiyon;Martin Campbell;130;1995;Multi Nation
208;Jumanji;100475249;Aile;Joe Johnston;104;1995;ABD
209;Casper;100328194;Aile;Brad Silberling;100;1995;ABD
210;Crimson Tide;91387195;Aksiyon;Tony Scott;123;1995;ABD
211;Waterworld;88246220;Bilim Kurgu;"Kevin Costner
                                        ,                                                                                                                     Kevin Reynolds";135;1995;ABD
212;Dangerous Minds;84919401;Dram;John N. Smith;99;1995;ABD
213;While You Were Sleeping;81057016;Komedi;Jon Turteltaub;103;1995;ABD
214;Braveheart;75609945;Aksiyon;Mel Gibson;177;1995;ABD
215;Mortal Kombat;70454098;Aksiyon;Paul W.S. Anderson;101;1995;ABD
216;Mortal Kombat;84426031;Aksiyon;Paul W.S. Anderson;101;1995;ABD
217;Nine Months;69684532;Komedi;Chris Columbus;103;1995;ABD
218;Casino;68972551;Dram;Martin Scorsese;179;1995;Multi Nation
219;Heat;67437309;Aksiyon;Michael Mann;170;1995;ABD
220;Heat;67437309;Aksiyon;Simon West;92;2015;ABD
221;Bad Boys;65807024;Aksiyon;Michael Bay;119;1995;ABD
222;Clueless;56631572;Komedi;Amy Heckerling;97;1995;ABD
223;Sense and Sensibility;43182776;Dram;Ang Lee;136;1995;?ngiltere
224;Dead Man Walking;39363635;Dram;Tim Robbins;122;1995;Multi Nation
225;French Kiss;38896854;Komedi;Lawrence Kasdan;111;1995;Multi Nation
226;First Knight;37600435;Aksiyon;Jerry Zucker;134;1995;ABD
227;Judge Dredd;34693481;Bilim Kurgu;Danny Cannon;96;1995;ABD
228;Leaving Las Vegas;32029928;Dram;Mike Figgis;111;1995;Multi Nation
229;Powder;30862156;Bilim Kurgu;Victor Salva;111;1995;ABD
230;Assassins;30303072;Aksiyon;Richard Donner;132;1995;Multi Nation
231;Billy Madison;25588734;Komedi;Tamra Davis;90;1995;ABD
232;Desperado;25405445;Aksiyon;Robert Rodriguez;104;1995;ABD
233;Dolores Claiborne;24361867;Dram;Taylor Hackford;132;1995;ABD
234;The Usual Suspects;23341568;Dram;Bryan Singer;106;1995;ABD
235;The Postman;21848932;Bilim Kurgu;Kevin Costner;177;1997;ABD
236;The Postman;17626234;Bilim Kurgu;Kevin Costner;177;1997;ABD
237;To Die For;21284514;Dram;Gus Van Sant;106;1995;Multi Nation
238;Johnny Mnemonic;19075720;Bilim Kurgu;Robert Longo;97;1995;Multi Nation
239;The Scarlet Letter;10382407;Dram;Roland Joffé;135;1995;ABD
240;Before Sunrise;5535405;Dram;Richard Linklater;105;1995;Multi Nation
241;Four Rooms;4257354;Komedi;"Quentin Tarantino
                                        ,                                                                                                                     Robert Rodriguez
                                        ,                                                                                                                     Allison Anders
                                        ,                                                                                                                     Alexandre Rockwell";98;1995;ABD
242;Priest;4165845;Aksiyon;Scott Stewart;87;2011;ABD
243;Priest;78309505;Aksiyon;Scott Stewart;87;2011;ABD
244;Bad Company;3674841;Aksiyon;Joel Schumacher;116;2002;ABD
245;Bad Company;65977295;Aksiyon;Joel Schumacher;116;2002;ABD
246;The Basketball Diaries;2381087;Dram;Scott Kalvert;102;1995;ABD
247;Shallow Grave;2079569;Gerilim;Danny Boyle;93;1994;?ngiltere
248;Independence Day;306169268;Bilim Kurgu;Roland Emmerich;145;1996;ABD
249;Twister;241721524;Aksiyon;Jan de Bont;113;1996;ABD
250;Mission: Impossible;180981856;Aksiyon;Brian De Palma;110;1996;ABD
251;Jerry Maguire;153952592;Dram;Cameron Crowe;139;1996;ABD
252;Ransom;136492681;Aksiyon;Ron Howard;121;1996;ABD
253;101 Dalmatians;136189294;Aile;Stephen Herek;103;1996;Multi Nation
254;The Rock;134069511;Aksiyon;Michael Bay;136;1996;ABD
255;The Nutty Professor;128814019;Bilim Kurgu;Tom Shadyac;95;1996;ABD
256;Phenomenon;104636382;Bilim Kurgu;Jon Turteltaub;123;1996;ABD
257;Scream;103067302;Gizem;Wes Craven;112;1996;ABD
258;Scream;137743924;Gizem;Wes Craven;112;1996;ABD
259;Eraser;101295562;Aksiyon;Chuck Russell;115;1996;Multi Nation
260;Space Jam;90418342;Animasyon;Joe Pytka;88;1996;ABD
261;The English Patient;78676425;Dram;Anthony Minghella;162;1996;Multi Nation
262;Broken Arrow;70770147;Aksiyon;John Woo;108;1996;ABD
263;The Cable Guy;60240295;Dram;Ben Stiller;96;1996;ABD
264;Courage Under Fire;59031057;Dram;Edward Zwick;116;1996;ABD
265;Jack;58620973;Aile;Francis Ford Coppola;113;1996;ABD
266;Primal Fear;56116183;Dram;Gregory Hoblit;129;1996;ABD
267;Sleepers;53315285;Dram;Barry Levinson;147;1996;ABD
268;One Fine Day;46151454;Komedi;Michael Hoffman;108;1996;ABD
269;Happy Gilmore;38824099;Komedi;Dennis Dugan;92;1996;ABD
270;Mars Attacks!;37771017;Bilim Kurgu;Tim Burton;106;1996;ABD
271;Shine;35999081;Dram;Scott Hicks;105;1996;Avustralya
272;Matilda;33459416;Bilim Kurgu;Danny DeVito;98;1996;ABD
273;The Long Kiss Goodnight;33447612;Aksiyon;Renny Harlin;121;1996;ABD
274;Striptease;33109743;Dram;Andrew Bergman;115;1996;ABD
275;Daylight;33023469;Aksiyon;Rob Cohen;115;1996;ABD
276;From Dusk Till Dawn;25836684;Aksiyon;Robert Rodriguez;108;1996;ABD
277;The Craft;24819936;Dram;Andrew Fleming;101;1996;ABD
278;Fargo;24611975;Dram;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";98;1996;Multi Nation
279;Emma;22231658;Dram;Douglas McGrath;121;1996;ABD
280;The Quest;21686547;Aksiyon;Jean-Claude Van Damme;95;1996;Multi Nation
281;Bulletproof;21576954;Aksiyon;Ernest R. Dickerson;84;1996;ABD
282;Fear;20831000;Gerilim;James Foley;97;1996;ABD
283;Last Man Standing;18115927;Aksiyon;Walter Hill;101;1996;ABD
284;The Frighteners;16759216;Komedi;Peter Jackson;110;1996;ABD
285;Trainspotting;16491080;Dram;Danny Boyle;94;1996;?ngiltere
286;Marvin's Room;12803305;Dram;Jerry Zaks;98;1996;ABD
287;Michael Collins;11092559;Dram;Neil Jordan;132;1996;Multi Nation
288;Everyone Says I Love You;9759200;Komedi;Woody Allen;101;1996;ABD
289;Jane Eyre;5200601;Dram;Cary Fukunaga;120;2011;Multi Nation
290;Jane Eyre;34710627;Dram;Cary Fukunaga;120;2011;Multi Nation
291;Stealing Beauty;4762310;Dram;Bernardo Bertolucci;118;1996;Multi Nation
292;Crash;2664812;Dram;Paul Haggis;112;2004;Multi Nation
293;Crash;98410061;Dram;Paul Haggis;112;2004;Multi Nation
294;Dead Man;1037847;Dram;Jim Jarmusch;121;1995;Multi Nation
295;Titanic;1843373318;Dram;James Cameron;194;1997;ABD
296;Bean;251212670;Aile;Mel Smith;89;1997;?ngiltere
297;Men in Black;250690539;Bilim Kurgu;Barry Sonnenfeld;98;1997;ABD
298;Batman & Robin;238225195;Bilim Kurgu;Joel Schumacher;125;1997;ABD
299;The Lost World: Jurassic Park;229086679;Bilim Kurgu;Steven Spielberg;129;1997;ABD
300;Liar Liar;181410615;Komedi;Tom Shadyac;86;1997;ABD
301;Speed 2: Cruise Control;164508066;Aksiyon;Jan de Bont;125;1997;ABD
302;Good Will Hunting;138433435;Dram;Gus Van Sant;127;1997;ABD
303;My Best Friend's Wedding;127120029;Komedi;P.J. Hogan;105;1997;ABD
304;Tomorrow Never Dies;125304276;Aksiyon;Roger Spottiswoode;119;1997;Multi Nation
305;Face/Off;112276146;Bilim Kurgu;John Woo;138;1997;ABD
306;Scream 2;101363301;Gizem;Wes Craven;120;1997;ABD
307;Con Air;101142012;Aksiyon;Simon West;116;1997;ABD
308;Contact;100920329;Bilim Kurgu;Robert Zemeckis;150;1997;ABD
309;Hercules;99112101;Aksiyon;Brett Ratner;98;2014;ABD
310;Hercules;99112101;Animasyon;"Ron Clements
                                        ,                                                                                                                     John Musker";93;1997;ABD
311;Hercules;244819862;Aksiyon;Brett Ratner;98;2014;ABD
312;Hercules;244819862;Animasyon;"Ron Clements
                                        ,                                                                                                                     John Musker";93;1997;ABD
313;Flubber;92977226;Bilim Kurgu;Les Mayfield;93;1997;ABD
314;Conspiracy Theory;75982834;Aksiyon;Richard Donner;135;1997;ABD
315;I Know What You Did Last Summer;72586134;Gerilim;Jim Gillespie;101;1997;ABD
316;Dante's Peak;67127760;Aksiyon;Roger Donaldson;108;1997;ABD
317;Anaconda;65885767;Gerilim;Luis Llosa;89;1997;Multi Nation
318;L.A. Confidential;64616940;Gerilim;Curtis Hanson;138;1997;ABD
319;The Fifth Element;63820180;Bilim Kurgu;Luc Besson;126;1997;Multi Nation
320;The Saint;61363304;Bilim Kurgu;Phillip Noyce;116;1997;ABD
321;Anastasia;58406347;Animasyon;"Gary Goldman
                                        ,                                                                                                                     Don Bluth";94;1997;ABD
322;Spawn;54870175;Bilim Kurgu;Mark A.Z. Dippé;96;1997;ABD
323;Starship Troopers;54814377;Bilim Kurgu;Paul Verhoeven;123;1997;ABD
324;Austin Powers: International Man of Mystery;53883989;Bilim Kurgu;M. Jay Roach;94;1997;Multi Nation
325;Breakdown;50159144;Dram;Jonathan Mostow;95;1997;ABD
326;The Game;48323859;Dram;David Fincher;129;1997;ABD
327;G.I. Jane;48169156;Aksiyon;Ridley Scott;125;1997;ABD
328;Alien: Resurrection;47795658;Bilim Kurgu;Jean Pierre Jeunet;116;1997;ABD
329;Cop Land;44862187;Dram;James Mangold;104;1997;ABD
330;Amistad;44229441;Dram;Steven Spielberg;155;1997;ABD
331;The Devil's Own;42868348;Dram;Alan J. Pakula;107;1997;ABD
332;Donnie Brasco;41909762;Dram;Mike Newell;147;1997;ABD
333;Jackie Brown;39673162;Dram;Quentin Tarantino;154;1997;ABD
334;Seven Years in Tibet;37957682;Dram;Jean-Jacques Annaud;136;1997;Multi Nation
335;Mortal Kombat: Annihilation;35927406;Bilim Kurgu;John R. Leonetti;95;1997;ABD
336;Home Alone 3;30882515;Aile;Raja Gosnell;102;1997;ABD
337;The Edge;27873386;Aksiyon;Lee Tamahori;117;1997;ABD
338;Event Horizon;26673242;Bilim Kurgu;Paul W.S. Anderson;96;1997;Multi Nation
339;Wishmaster;15738769;Fantastik;Robert Kurtzman;86;1997;ABD
340;Gattaca;12532777;Bilim Kurgu;Andrew Niccol;106;1997;ABD
341;Double Team;11438337;Bilim Kurgu;Tsui Hark;93;1997;Multi Nation
342;U Turn;6682098;Dram;Oliver Stone;125;1997;Multi Nation
343;Lost Highway;3756869;Dram;David Lynch;134;1997;Multi Nation
344;Anna Karenina;858553;Dram;Joe Wright;130;2012;Multi Nation
345;Anna Karenina;858553;Dram;Bernard Rose;108;1997;Multi Nation
346;Anna Karenina;68929150;Dram;Joe Wright;130;2012;Multi Nation
347;Anna Karenina;68929150;Dram;Bernard Rose;108;1997;Multi Nation
348;Armageddon;553709788;Bilim Kurgu;Michael Bay;151;1998;ABD
349;Saving Private Ryan;481840909;Dram;Steven Spielberg;169;1998;ABD
350;Godzilla;379014294;Bilim Kurgu;Gareth Edwards;123;2014;ABD
351;Godzilla;379014294;Bilim Kurgu;Roland Emmerich;138;1998;Multi Nation
352;Godzilla;524976069;Bilim Kurgu;Gareth Edwards;123;2014;ABD
353;Godzilla;524976069;Bilim Kurgu;Roland Emmerich;138;1998;Multi Nation
354;There's Something About Mary;369884651;Komedi;"Bobby Farrelly
                                        ,                                                                                                                     Peter Farrelly";119;1998;ABD
355;A Bug's Life;363258859;Animasyon;"John Lasseter
                                        ,                                                                                                                     Andrew Stanton";95;1998;ABD
356;Mulan;304320254;Animasyon;"Tony Bancroft
                                        ,                                                                                                                     Barry Cook";88;1998;ABD
357;Mulan;69965374;Animasyon;"Tony Bancroft
                                        ,                                                                                                                     Barry Cook";88;1998;ABD
