Name;Worldwide;Domestic;Foreign
Mummies;$54,375,970;$4,275,970;$50,100,000
My Big Fat Greek Wedding 3;$37,033,637;$27,714,540;$9,319,097
My Happy Marriage;$19,439,523;-;$19,439,523
Nefarious;$5,433,685;$5,433,685;-
No Hard Feelings;$87,133,217;$50,452,282;$36,680,935
Nyurnberg;$4,354,380;-;$4,354,380
Off the Rails;$5,467,591;-;$5,467,591
ONEMANSHOW: The Movie;$4,681,464;-;$4,681,464
Operation Fortune: Ruse de Guerre;$38,165,964;$6,496,125;$31,669,839
Oppenheimer;$939,312,345;$323,302,345;$616,010,000
Past Lives;$14,966,482;$10,923,569;$4,042,913
Pathaan;$128,780,000;$17,487,476;$95,095,974
PAW Patrol: The Mighty Movie;$89,866,189;$41,666,189;$48,200,000
Phantom;$5,173,638;-;$5,173,638
Plane;$74,191,973;$32,111,181;$42,080,792
Ponniyin Selvan: Part Two;$5,035,633;$3,813,000;$1,222,633
Pravednik;$6,758,440;-;$6,758,440
PreCure All Stars F;$7,643,488;-;$7,643,488
Rafadan Tayfa Galaktik Tayfa;$6,309,160;-;$6,309,160
Ransomed;$8,101,634;$142,101;$7,959,533
Rebound;$5,145,202;-;$5,145,202
Rehragout Rendezvous;$14,127,069;-;$14,127,069
Renfield;$26,348,651;$17,152,625;$9,196,026
Retribution;$16,206,850;$6,930,170;$9,276,680
Ride On;$36,248,066;$128,950;$36,119,116
Rocky Aur Rani Kii Prem Kahaani;$5,627,462;-;$5,627,462
Ruby Gillman, Teenage Kraken;$45,093,755;$15,753,600;$29,340,155
Sage homme;$4,613,332;-;$4,613,332
Samurai Beyond Admiration Record to the World's Best;$10,876,188;-;$10,876,188
Saw X;$58,203,398;$34,276,014;$23,927,384
Scream VI;$168,961,389;$108,161,389;$60,800,000
Shazam! Fury of the Gods;$133,838,006;$57,638,006;$76,200,000
Shin Jigen! Crayon Shin-chan the Movie;$16,926,552;-;$16,926,552
Shin Kamen Rider;$15,787,771;-;$15,787,771
Shylock's Children;$5,102,646;-;$5,102,646
Sisu;$14,079,760;$7,265,622;$6,814,138
Sleep;$10,063,710;-;$10,063,710
Smugglers;$36,825,379;-;$36,825,379
Someday or One Day;$5,009,619;-;$5,009,619
Sound of Freedom;$234,435,634;$184,038,874;$50,396,760
Spider-Man: Across the Spider-Verse;$690,001,944;$381,311,319;$308,690,625
SSSS.Gridman;$4,636,916;-;$4,636,916
Star Wars: Episode VI - Return of the Jedi 2023 Re-release;$7,259,924;$7,259,924;-
Stop Making Sense 2023  Re-release;$4,641,772;$4,000,378;$641,394
Strays;$35,355,130;$23,988,885;$11,366,245
Sun and Concrete;$10,119,958;-;$10,119,958
Sur les chemins noirs;$7,964,795;-;$7,964,795
Talk to Me;$88,614,724;$48,105,234;$40,509,490
Teenage Mutant Ninja Turtles: Mutant Mayhem;$179,198,391;$118,098,391;$61,100,000
The Blackening;$18,169,453;$17,707,207;$462,246
The Blind;$11,405,418;$11,405,418;-
The Boogeyman;$67,307,243;$43,244,282;$24,062,961
The Book of Wonders;$4,324,164;-;$4,324,164
The Boy and the Heron;$56,175,911;-;$56,175,911
The Challenge;$22,100,836;-;$22,100,836
The Childe;$5,934,764;$102,021;$5,832,743
The Chosen Season 3 Finale;$5,589,142;$5,525,069;$64,073
The Covenant;$21,632,392;$16,938,039;$4,694,353
The Creator;$63,857,162;$26,951,061;$36,906,101
The Crime Is Mine;$10,103,219;-;$10,103,219
The Devil's Deal;$5,702,702;-;$5,702,702
The Equalizer 3;$167,825,580;$89,281,239;$78,544,341
The Exorcist: Believer;$51,967,767;$31,200,575;$20,767,192
The Flash;$270,633,313;$108,133,313;$162,500,000
The Hill;$7,665,865;$7,665,865;-
The House of No Man;$19,490,980;-;$19,490,980
The Jungle Bunch 2: World Tour;$6,969,979;-;$6,969,979
The Last Voyage of the Demeter;$21,694,915;$13,637,180;$8,057,735
The Legend & Butterfly;$16,087,771;-;$16,087,771
The Little Mermaid;$569,626,289;$298,172,056;$271,454,233
The Machine;$10,664,328;$10,458,331;$205,997
The Moon;$4,999,121;$92,718;$4,906,403
The Nun II;$249,419,329;$81,719,329;$167,700,000
The Point Men;$13,433,834;-;$13,433,834
The Pope's Exorcist;$76,664,075;$20,009,380;$56,654,695
The Roundup: No Way Out;$83,423,445;$909,411;$82,514,034
The Silent Service;$5,140,123;-;$5,140,123
The Super Mario Bros. Movie;$1,362,006,290;$574,934,330;$787,071,960
The Three Musketeers: D'Artagnan;$31,188,574;-;$31,188,574
