;Name;Worldwide;Domestic;MovieType;Duration;Year;Country;Director;Continent
681;Scoop;39220946;10525717;Gizem;96;2006;Multi Nation;Woody Allen;Multi Nation
682;The Wicker Man;38805380;23649127;Gerilim;102;2006;Multi Nation;Neil LaBute;Multi Nation
683;Basic Instinct 2;38629478;5971336;Gerilim;114;2006;Multi Nation;Michael Caton-Jones;Multi Nation
684;Accepted;38623262;36323505;Komedi;93;2006;ABD;Steve Pink;ABD
685;Employee of the Month;38528984;28444855;Komedi;103;2006;ABD;Greg Coolidge;ABD
686;Just My Luck;38159905;17326650;Aile;103;2006;ABD;Donald Petrie;ABD
687;The Covenant;37598767;23380495;Aksiyon;97;2006;ABD;Renny Harlin;ABD
688;The Covenant;21632392;16938039;Aksiyon;97;2006;ABD;Renny Harlin;ABD
689;Miss Potter;35078241;3005605;Aile;92;2006;Multi Nation;Chris Noonan;Multi Nation
690;Dhoom 2;32396427;2643586;Aksiyon;151;2006;Hindistan;Sanjay Gadhvi;Asia
691;Ultraviolet;31070211;18535812;Bilim Kurgu;87;2006;ABD;Kurt Wimmer;ABD
692;Pulse;29907685;20264436;Gerilim;90;2006;ABD;Jim Sonzero;ABD
693;Death Note;29630359;;Fantastik;126;2006;Japonya;Sh?suke Kaneko;Asia
694;An American Haunting;29612137;16298046;Gerilim;83;2005;Multi Nation;Courtney Solomon;Multi Nation
695;Stay Alive;27298695;23086480;Gerilim;85;2006;ABD;;ABD
696;The Painted Veil;26910847;8060487;Dram;125;2006;Multi Nation;John Curran;Multi Nation
697;Kabhi Alvida Naa Kehna;25229168;3275444;Dram;193;2006;Hindistan;Karan Johar;Asia
698;Stormbreaker;23937870;677646;Aile;93;2006;Multi Nation;Geoffrey Sax;Multi Nation
699;Aquamarine;22989957;18597342;Aile;104;2006;Multi Nation;Elizabeth Allen;Multi Nation
700;Asterix and the Vikings;22501596;;Animasyon;78;2006;Multi Nation;Stefan Fjeldmark;Multi Nation
701;Fanaa;22175908;2105352;Aksiyon;168;2006;Hindistan;Kunal Kohli;Asia
702;The Marine;22165608;18844784;Aksiyon;92;2006;ABD;John Bonito;ABD
703;Black Christmas;21510851;16273581;Gerilim;95;2006;Multi Nation;Glen Morgan;Multi Nation
704;Waist Deep;21353303;21344312;Aksiyon;97;2006;ABD;Vondie Curtis-Hall;ABD
705;Bobby;20704591;11242801;Dram;120;2006;ABD;Emilio Estevez;ABD
706;Don;19640129;2223961;Aksiyon;178;2006;Hindistan;Farhan Akhtar;Asia
707;Don;8287406;;Aksiyon;178;2006;Hindistan;Farhan Akhtar;Asia
708;See No Evil;18564467;15032800;Gerilim;84;2006;ABD;Gregory Dark;ABD
709;Bandidas;18381890;;Aksiyon;93;2006;Multi Nation;Joachim Roenning;Multi Nation
710;Flyboys;17834865;13090630;Aksiyon;138;2006;Multi Nation;Tony Bill;Multi Nation
711;Annapolis;17496992;17127992;Aksiyon;108;2006;ABD;Justin Lin;ABD
712;Material Girls;16907725;11449638;Komedi;97;2006;ABD;Martha Coolidge;ABD
713;Pirates of the Caribbean: At World's End;960996492;309420425;Aksiyon;169;2007;ABD;Gore Verbinski;ABD
714;Harry Potter and the Order of the Phoenix;941676843;292004738;Fantastik;138;2007;Multi Nation;David Yates;Multi Nation
715;Spider-Man 3;894983373;336530303;Aksiyon;195;2007;ABD;Sam Raimi;ABD
