Name
The Shawshank Redemption
The Good, the Bad and the Ugly
M
The Apartment
North by Northwest
Vertigo
Double Indemnity
Amélie
Scarface
Full Metal Jacket
A Clockwork Orange
Incendies
Forrest Gump
Heat
Up
Hamilton
To Kill a Mockingbird
The Sting
A Separation
Indiana Jones and the Last Crusade
Metropolis
Die Hard
Like Stars on Earth
Fight Club
Snatch
Bicycle Thieves
L.A. Confidential
Taxi Driver
1917
Downfall
Dangal
For a Few Dollars More
Top Gun: Maverick
Batman Begins
The Lord of the Rings: The Two Towers
Some Like It Hot
The Kid
The Wolf of Wall Street
The Father
Green Book
All About Eve
Judgment at Nuremberg
The Truman Show
There Will Be Blood
Casino
Inception
Ran
Shutter Island
Pan's Labyrinth
The Sixth Sense
Unforgiven
Jurassic Park
A Beautiful Mind
The Treasure of the Sierra Madre
Yojimbo
No Country for Old Men
Star Wars: Episode V - The Empire Strikes Back
Kill Bill: Vol. 1
Monty Python and the Holy Grail
The Thing
The Great Escape
Rashomon
Finding Nemo
The Elephant Man
Chinatown
Howl's Moving Castle
Dial M for Murder
The Matrix
Gone with the Wind
V for Vendetta
Raging Bull
Spider-Man: No Way Home
Lock, Stock and Two Smoking Barrels
Prisoners
The Secret in Their Eyes
Inside Out
Three Billboards Outside Ebbing, Missouri
The Bridge on the River Kwai
Goodfellas
Trainspotting
Fargo
Warrior
Gran Torino
Catch Me If You Can
My Neighbor Totoro
Million Dollar Baby
Klaus
Harry Potter and the Deathly Hallows: Part 2
Children of Heaven
One Flew Over the Cuckoo's Nest
Blade Runner
2 Years a Slave
Before Sunrise
The Grand Budapest Hotel
The Gold Rush
Ben-Hur
Gone Girl
Barry Lyndon
On the Waterfront
Hacksaw Ridge
Se7en
In the Name of the Father
Memories of Murder
The General
The Deer Hunter
Wild Strawberries
The Third Man
The Wages of Fear
Wild Tales
Sherlock Jr.
Dead Poets Society
The Godfather
It's a Wonderful Life
Mad Max: Fury Road
Mr. Smith Goes to Washington
Monsters, Inc.
Jaws
How to Train Your Dragon
Mary and Max
The Seventh Seal
Room
Ford v Ferrari
The Big Lebowski
Spider-Man: Across the Spider-Verse
Tokyo Story
Ratatouille
Rocky
Hotel Rwanda
Logan
The Passion of Joan of Arc
Spotlight
Platoon
The Terminator
Jai Bhim
Seven Samurai
Before Sunset
Rush
Network
Stand by Me
The Best Years of Our Lives
The Exorcist
La haine
The Wizard of Oz
Pirates of the Caribbean: The Curse of the Black Pearl
Into the Wild
Interstellar
The Incredibles
To Be or Not to Be
Hachi: A Dog's Tale
The Handmaiden
Groundhog Day
The Battle of Algiers
The Grapes of Wrath
My Father and My Son
Amores Perros
Rebecca
The Silence of the Lambs
The Sound of Music
Cool Hand Luke
Pather Panchali
The Iron Giant
It Happened One Night
The Help
The 400 Blows
Persona
Life of Brian
Aladdin
Saving Private Ryan
Dances with Wolves
City of God
Life Is Beautiful
The Green Mile
Star Wars: Episode IV - A New Hope
The Dark Knight
Terminator 2: Judgment Day
Back to the Future
Spirited Away
The Pianist
Psycho
Parasite
Gladiator
The Lion King
Léon: The Professional
American History X
The Godfather Part II
The Departed
Whiplash
The Prestige
The Usual Suspects
Grave of the Fireflies
Harakiri
Oppenheimer
Casablanca
The Intouchables
Modern Times
12 Angry Men
Cinema Paradiso
Once Upon a Time in the West
Rear Window
Alien
City Lights
Apocalypse Now
Memento
Django Unchained
Raiders of the Lost Ark
WALL·E
Schindler's List
The Lives of Others
Sunset Blvd.
Paths of Glory
Avengers: Infinity War
The Shining
The Great Dictator
Witness for the Prosecution
Spider-Man: Into the Spider-Verse
Aliens
Inglourious Basterds
The Lord of the Rings: The Return of the King
The Dark Knight Rises
American Beauty
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
Oldboy
Coco
Amadeus
Toy Story
Das Boot
Braveheart
Avengers: Endgame
Pulp Fiction
Joker
Princess Mononoke
Good Will Hunting
Once Upon a Time in America
Your Name.
3 Idiots
High and Low
Singin' in the Rain
Capernaum
Requiem for a Dream
The Lord of the Rings: The Fellowship of the Ring
Toy Story 3
Come and See
Star Wars: Episode VI - Return of the Jedi
Eternal Sunshine of the Spotless Mind
2001: A Space Odyssey
The Hunt
Reservoir Dogs
Ikiru
Lawrence of Arabia
Citizen Kane
