;Name;Worldwide;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Sava?;MovieType_Western
19;Edward Scissorhands;56362352;105;1990;ABD;Tim Burton;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
20;Problem Child;53470891;81;1990;ABD;Dennis Dugan;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Awakenings;52096475;120;1990;ABD;Penny Marshall;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
22;Look Who's Talking Too;47789074;81;1990;ABD;Amy Heckerling;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
23;Goodfellas;46836214;145;1990;ABD;Martin Scorsese;1;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
24;Gremlins 2: The New Batch;41482207;106;1990;ABD;Joe Dante;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
25;Rocky V;40946358;104;1990;ABD;John G. Avildsen;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
26;Predator 2;30669413;108;1990;ABD;Stephen Hopkins;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27;Child's Play 2;28501605;84;1990;ABD;John Lafia;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
28;Jacob's Ladder;26118851;113;1990;ABD;Adrian Lyne;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
29;The Rookie;21633874;127;2002;ABD;John Lee Hancock;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
30;The Rookie;80693537;127;2002;ABD;John Lee Hancock;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Hamlet;20710451;242;1996;Multi Nation;Kenneth Branagh;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
32;Hamlet;20710451;130;1990;Multi Nation;Franco Zeffirelli;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
33;Hamlet;4739189;242;1996;Multi Nation;Kenneth Branagh;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
34;Hamlet;4739189;130;1990;Multi Nation;Franco Zeffirelli;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
35;Hamlet;2046433;242;1996;Multi Nation;Kenneth Branagh;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
36;Hamlet;2046433;130;1990;Multi Nation;Franco Zeffirelli;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
37;The Guardian;17037887;139;2006;ABD;Andrew Davis;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
38;The Guardian;94973540;139;2006;ABD;Andrew Davis;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
39;Tremors;16667084;96;1990;ABD;Ron Underwood;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
40;Lord of the Flies;13985225;91;1990;ABD;Harry Hook;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
41;Miller's Crossing;5080409;115;1990;ABD;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
42;The Sheltering Sky;2075084;138;1990;Multi Nation;Bernardo Bertolucci;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
43;Beauty and the Beast;248802521;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
44;Beauty and the Beast;47430624;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
45;Beauty and the Beast;1263521126;129;2017;ABD;Bill Condon;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
46;Terminator 2: Judgment Day;204843345;156;1991;Multi Nation;James Cameron;1;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
47;Robin Hood: Prince of Thieves;165493908;143;1991;ABD;Kevin Reynolds;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
48;Hook;119654823;142;1991;ABD;Steven Spielberg;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
49;The Addams Family;113502426;99;1991;ABD;Barry Sonnenfeld;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
50;The Addams Family;203044905;99;1991;ABD;Barry Sonnenfeld;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
51;Fried Green Tomatoes;82418501;130;1991;ABD;Jon Avnet;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
52;Cape Fear;79091969;128;1991;ABD;Martin Scorsese;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
53;JFK;70405498;189;1991;Multi Nation;Oliver Stone;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
54;My Girl;59489799;103;1991;ABD;Howard Zieff;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
55;Thelma & Louise;45454078;130;1991;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
56;Point Break;43218387;122;1991;Multi Nation;Kathryn Bigelow;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
57;Point Break;43218387;113;2015;Multi Nation;Ericson Core;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
58;Point Break;133782481;122;1991;Multi Nation;Kathryn Bigelow;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
59;Point Break;133782481;113;2015;Multi Nation;Ericson Core;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
60;The Fisher King;41895491;138;1991;ABD;Terry Gilliam;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
61;Freddy's Dead: The Final Nightmare;34872033;89;1991;ABD;Rachel Talalay;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
62;The Doors;34494884;140;1991;ABD;Oliver Stone;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
63;Dying Young;33669178;111;1991;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
64;Double Impact;30102717;110;1991;ABD;Sheldon Lettich;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
65;Problem Child 2;25104700;90;1991;ABD;Brian Levant;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
66;Lionheart;24078196;105;1990;ABD;Sheldon Lettich;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
67;Oscar;23562716;109;1991;ABD;John Landis;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
68;Child's Play 3;14960255;90;1991;ABD;Jack Bender;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
69;Not Without My Daughter;14789113;116;1991;ABD;Brian Gilbert;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
70;Rush;7241350;123;2013;Multi Nation;Ron Howard;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
71;Rush;95224595;123;2013;Multi Nation;Ron Howard;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
72;My Own Private Idaho;6401336;104;1991;ABD;Gus Van Sant;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;Barton Fink;6153939;117;1991;Multi Nation;"Joel Coen
                                        ,                                                                                                                     Ethan Coen";1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
74;Everybody's Fine;1745470;99;2009;ABD;Kirk Jones;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
75;The Unborn;1159578;87;2009;ABD;David S. Goyer;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
76;The Unborn;76514050;87;2009;ABD;David S. Goyer;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
77;Aladdin;346476295;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Aladdin;346476295;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
79;Aladdin;346476295;95;1992;ABD;"Ron Clements
                                        ,                                                                                                                     John Musker";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
80;Aladdin;1050693953;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
81;Aladdin;1050693953;127;2019;ABD;Guy Ritchie;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Aladdin;1050693953;95;1992;ABD;"Ron Clements
                                        ,                                                                                                                     John Musker";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
83;Batman Returns;266831698;126;1992;ABD;Tim Burton;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
84;Home Alone 2: Lost in New York;173585516;120;1992;ABD;Chris Columbus;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
85;Lethal Weapon 3;144731527;118;1992;ABD;Richard Donner;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
86;A Few Good Men;141354048;138;1992;ABD;Rob Reiner;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
87;Sister Act;139605150;100;1992;ABD;Emile Ardolino;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
88;The Bodyguard;121945720;129;1992;ABD;Mick Jackson;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
89;Basic Instinct;117727224;127;1992;Multi Nation;Paul Verhoeven;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
90;Unforgiven;101157447;130;1992;ABD;Clint Eastwood;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
91;Bram Stoker's Dracula;82522790;128;1992;ABD;Francis Ford Coppola;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
92;White Men Can't Jump;76253806;115;1992;ABD;Ron Shelton;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
93;Death Becomes Her;58422650;104;1992;ABD;Robert Zemeckis;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
94;Beethoven;57114049;87;1992;ABD;Brian Levant;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
95;Forever Young;55956187;102;1992;ABD;Steve Miner;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
96;Forever Young;59981902;102;1992;ABD;Steve Miner;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
97;Forever Young;119055731;102;1992;ABD;Steve Miner;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
98;Malcolm X;48169910;202;1992;ABD;Spike Lee;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99;Passenger 57;44065653;84;1992;ABD;Kevin Hooks;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
100;A River Runs Through It;43440294;123;1992;ABD;Robert Redford;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
101;Universal Soldier;36299898;102;1992;ABD;Roland Emmerich;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
102;3 Ninjas;29000301;84;1992;ABD;Jon Turteltaub;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
103;Stop! Or My Mom Will Shoot;28411210;87;1992;ABD;Roger Spottiswoode;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
104;Candyman;25792310;100;1992;ABD;Bernard Rose;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
105;Candyman;77411570;100;1992;ABD;Bernard Rose;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
106;Pet Sematary II;17092453;100;1992;ABD;Mary Lambert;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
107;Trespass;13249535;91;2011;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
108;Chaplin;9493259;143;1992;Multi Nation;Richard Attenborough;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
109;Gladiator;9223441;171;2000;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
110;Gladiator;460583960;171;2000;Multi Nation;Ridley Scott;1;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
111;Of Mice and Men;5471088;110;1992;ABD;Gary Sinise;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
112;Reservoir Dogs;2832029;99;1992;ABD;Quentin Tarantino;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
113;Poison Ivy;1829804;92;1992;ABD;Katt Shea;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
114;Delicatessen;1794187;99;1991;Fransa;"Jean Pierre Jeunet
                                        ,                                                                                                                     Marc Caro";0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
115;Rampage;796368;108;2018;ABD;Brad Peyton;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
116;Rampage;428128233;108;2018;ABD;Brad Peyton;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
117;Proof;524668;101;2005;ABD;John Madden;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
118;Proof;14189860;101;2005;ABD;John Madden;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
119;Jurassic Park;978167947;127;1993;ABD;Steven Spielberg;1;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
120;Mrs. Doubtfire;219195243;125;1993;ABD;Chris Columbus;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
121;The Fugitive;183875760;131;1993;ABD;Andrew Davis;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
122;The Firm;158348367;154;1993;ABD;Sydney Pollack;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
123;Sleepless in Seattle;126680884;105;1993;ABD;Nora Ephron;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
124;Indecent Proposal;106614059;117;1993;ABD;Adrian Lyne;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
125;The Pelican Brief;100768056;141;1993;ABD;Alan J. Pakula;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
126;Schindler's List;96065768;195;1993;ABD;Steven Spielberg;1;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
127;Cliffhanger;84049211;112;1993;Multi Nation;Renny Harlin;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
128;Philadelphia;77446440;126;1993;ABD;Jonathan Demme;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
129;Groundhog Day;70906973;101;1993;ABD;Harold Ramis;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
130;Demolition Man;58055768;115;1993;ABD;Marco Brambilla;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
131;The Three Musketeers;53898845;110;2011;Multi Nation;Paul W.S. Anderson;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
132;The Three Musketeers;132274484;110;2011;Multi Nation;Paul W.S. Anderson;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
133;Beethoven's 2nd;53443066;89;1993;ABD;Rod Daniel;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
134;The Nightmare Before Christmas;50003043;73;1993;ABD;Henry Selick;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
135;Addams Family Values;48919043;94;1993;ABD;"Scott Rudin
                                        ,                                                                                                                     Barry Sonnenfeld
                                        ,                                                                                                                     David Nicksay
                                        ,                                                                                                                     Susan Ringo";0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
136;Malice;46405336;107;1993;ABD;Harold Becker;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
137;The Good Son;44789789;87;1993;ABD;Joseph Ruben;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
138;Teenage Mutant Ninja Turtles III;42273609;96;1993;Multi Nation;Stuart Gillard;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
139;Falling Down;40903593;113;1993;ABD;Joel Schumacher;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
140;The Piano;40157856;121;1993;Multi Nation;Jane Campion;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
141;Carlito's Way;36948322;144;1993;ABD;Brian De Palma;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
142;Alive;36733909;127;1993;ABD;Frank Marshall;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
143;Hard Target;32589677;97;1993;ABD;John Woo;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
144;A Perfect World;31130999;138;1993;ABD;Clint Eastwood;1;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
145;Benny & Joon;23261580;98;1993;ABD;Jeremiah S. Chechik;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
146;Coneheads;21274717;87;1993;ABD;Steve Barron;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
147;A Bronx Tale;17287898;121;1993;ABD;Robert De Niro;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
148;Jason Goes to Hell: The Final Friday;15935068;88;1993;ABD;Adam Marcus;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
149;True Romance;13088778;120;1993;Multi Nation;Tony Scott;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
150;What's Eating Gilbert Grape;10032765;118;1993;ABD;Lasse Hallström;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
151;Lorenzo's Oil;7286388;129;1992;ABD;George Miller;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
152;Fearless;6995302;103;2006;Multi Nation;Ronny Yu;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
153;Fearless;68072848;103;2006;Multi Nation;Ronny Yu;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
154;This Boy's Life;4104962;115;1993;ABD;Michael Caton-Jones;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
155;Kalifornia;2395231;117;1993;ABD;Dominic Sena;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
156;El Mariachi;2040920;81;1992;Multi Nation;Robert Rodriguez;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
157;Naked;1769305;131;1993;?ngiltere;Mike Leigh;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
158;Baraka;1254237;97;1992;ABD;Ron Fricke;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
159;The Lion King;763455561;88;1994;ABD;"Roger Allers
                                        ,                                                                                                                     Rob Minkoff";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
160;The Lion King;763455561;118;2019;ABD;Jon Favreau;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
161;The Lion King;1656943394;88;1994;ABD;"Roger Allers
                                        ,                                                                                                                     Rob Minkoff";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
162;The Lion King;1656943394;118;2019;ABD;Jon Favreau;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
163;Forrest Gump;329694499;142;1994;ABD;Robert Zemeckis;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
164;True Lies;146282411;141;1994;ABD;James Cameron;1;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
165;The Flintstones;130531208;91;1994;ABD;Brian Levant;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
166;Speed;121248145;116;1994;ABD;Jan de Bont;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
167;The Mask;119938730;101;1994;ABD;Chuck Russell;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
168;Pulp Fiction;107930019;154;1994;ABD;Quentin Tarantino;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
169;Interview with the Vampire: The Vampire Chronicles;105295870;123;1994;ABD;Neil Jordan;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
170;Maverick;101631272;127;1994;ABD;Richard Donner;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
171;Street Fighter;99431786;102;1994;Multi Nation;Steven E. de Souza;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
172;Disclosure;83015089;128;1994;ABD;Barry Levinson;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
173;Ace Ventura: Pet Detective;72217396;86;1994;ABD;Tom Shadyac;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
174;Stargate;71567262;130;1994;Multi Nation;Roland Emmerich;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
