;Name;Avg Rating;Movie Type;Director;Rate Count;Watch Count;Fav;Duration;Made In
1767;Street Fighter: The Legend Of Chun-li;6.8;Bilim Kurgu;Andrzej Bartkowiak;452;343 kullan?c? Sokak Dövü?çüsü: Chun-Li Efsanesi filmini izledi;386 kullan?c?n?n favori filmi;97dk;"2009 -
                            

                                                                                                                                                                                                            Kanada
                                                                         ,                                                                                                                                                 Hindistan
                                                                         ,                                                                                                                                                 Japonya
                                                                         ,                                                                                                                                                 ABD"
1099;Street Kings;8.0;Aksiyon;David Ayer;775;601 kullan?c? Soka??n Krallar? filmini izledi;691 kullan?c?n?n favori filmi;109dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1461;Stuart Little;8.0;Aile;Rob Minkoff;533;969 kullan?c? Küçük Karde?im filmini izledi;493 kullan?c?n?n favori filmi;84dk;"1999 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ABD"
2283;Stuart Little 2;7.9;Animasyon;Rob Minkoff;304;480 kullan?c? Küçük Karde?im 2 filmini izledi;273 kullan?c?n?n favori filmi;78dk;"2002 -
                            

                                                                                                                                                                                                            ABD"
2299;Suburban Girl;7.0;Dram;Marc Klein;354;264 kullan?c? Erkekleri Tavlama Sanat? filmini izledi;271 kullan?c?n?n favori filmi;97dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
1289;Suicide Squad;7.5;Aksiyon;David Ayer;946;1541 kullan?c? Suicide Squad: Gerçek Kötüler filmini izledi;573 kullan?c?n?n favori filmi;123dk;"2016 -
                            

                                                                                                                                                                                                            ABD"
2327;Sunshine;7.6;Bilim Kurgu;Danny Boyle;399;296 kullan?c? Gün I???? filmini izledi;265 kullan?c?n?n favori filmi;107dk;"2007 -
                            

                                                                                                                                                                                                            ?ngiltere"
2409;Sunshine Cleaning;7.7;Dram;Christine Jeffs;283;177 kullan?c? Gün????? Temizleme ?irketi filmini izledi;252 kullan?c?n?n favori filmi;91dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1555;Superbad;7.8;Komedi;Greg Mottola;567;586 kullan?c? Çok Fena filmini izledi;455 kullan?c?n?n favori filmi;113dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
1043;Superhero Movie;7.3;Bilim Kurgu;Craig Mazin;747;583 kullan?c? En Süper Kahraman filmini izledi;729 kullan?c?n?n favori filmi;85dk;"2008 -
                            

                                                                                                                                                                                                            ABD"
1161;Superman Returns;7.6;Bilim Kurgu;Bryan Singer;746;749 kullan?c? Superman Dönüyor filmini izledi;645 kullan?c?n?n favori filmi;154dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
1326;Surf's Up;8.1;Animasyon;"Ash Brannon
                                        ,                                                                                                                     Chris Buck";526;605 kullan?c? Ne?eli Dalgalar filmini izledi;560 kullan?c?n?n favori filmi;85dk;"2007 -
                            

                                                                                                                                                                                                            ABD"
727;Surrogates;7.7;Bilim Kurgu;Jonathan Mostow;1379;1320 kullan?c? Suretler filmini izledi;1057 kullan?c?n?n favori filmi;89dk;"2009 -
                            

                                                                                                                                                                                                            ABD"
87;Sweeney Todd: The Demon Barber of Fleet Street;8.1;Dram;Tim Burton;3418;3152 kullan?c? Sweeney Todd: Fleet Soka??n?n ?eytan Berberi filmini izledi;4626 kullan?c?n?n favori filmi;116dk;"2007 -
                            

                                                                                                                                                                                                            ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
125;Sweet November;8.1;Dram;Pat O'Connor;2931;3897 kullan?c? Kas?mda A?k Ba?kad?r filmini izledi;3921 kullan?c?n?n favori filmi;119dk;"2001 -
                            

                                                                                                                                                                                                            ABD"
911;Swordfish;7.9;Aksiyon;Dominic Sena;928;1088 kullan?c? Kod Ad? K?l?çbal??? filmini izledi;858 kullan?c?n?n favori filmi;99dk;"2001 -
                            

                                                                                                                                                                                                            Avustralya
                                                                         ,                                                                                                                                                 ABD"
988;T4XI;7.7;Aksiyon;Gérard Krawczyk;732;918 kullan?c? Taksi 4 filmini izledi;780 kullan?c?n?n favori filmi;91dk;"2007 -
                            

                                                                                                                                                                                                            Fransa"
163;Taare Zameen Par;8.8;Dram;Aamir Khan;2831;5147 kullan?c? Her Çocuk Özeldir filmini izledi;3387 kullan?c?n?n favori filmi;165dk;"2007 -
                            

                                                                                                                                                                                                            Hindistan"
2006;Tae-guk-gi hwinalrimyeo;8.5;Aksiyon;Kang Je-gyu;335;279 kullan?c? Karde?lerin Sava?? filmini izledi;329 kullan?c?n?n favori filmi;148dk;"2004 -
                            

                                                                                                                                                                                                            Güney Kore
                                                                         ,                                                                                                                                                 ABD"
1950;Tais-Toi!;8.2;Komedi;Francis Veber;327;314 kullan?c? Dost Musun Dü?man M?? filmini izledi;342 kullan?c?n?n favori filmi;85dk;"2003 -
                            

                                                                                                                                                                                                            Fransa"
801;Take The Lead;7.8;Dram;Liz Friedlander;686;707 kullan?c? Kurals?zlar filmini izledi;974 kullan?c?n?n favori filmi;108dk;"2006 -
                            

                                                                                                                                                                                                            ABD"
111;Taken;8.6;Aksiyon;Pierre Morel;3666;4216 kullan?c? 96 Saat filmini izledi;4122 kullan?c?n?n favori filmi;94dk;"2008 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ABD"
1374;Taken 2;6.4;Aksiyon;Olivier Megaton;1154;1527 kullan?c? Takip: ?stanbul filmini izledi;526 kullan?c?n?n favori filmi;91dk;"2012 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ABD"
840;Taking Lives;7.8;Gerilim;D.J. Caruso;947;1034 kullan?c? Hayat?n Benim filmini izledi;929 kullan?c?n?n favori filmi;103dk;"2004 -
                            

                                                                                                                                                                                                            ABD"
561;Tangled;8.3;Animasyon;"Byron Howard
                                        ,                                                                                                                     Nathan Greno";1225;1888 kullan?c? Karmakar???k filmini izledi;1339 kullan?c?n?n favori filmi;100dk;"2010 -
                            

                                                                                                                                                                                                            ABD"
1487;Tango & Cash;7.9;Aksiyon;Andrey Konchalovsky;527;634 kullan?c? Tango Ve Cash filmini izledi;482 kullan?c?n?n favori filmi;104dk;"1989 -
                            

                                                                                                                                                                                                            ABD"
1152;Taxi;8.1;Aksiyon;Gérard Pirès;691;1307 kullan?c? Taksi filmini izledi;648 kullan?c?n?n favori filmi;86dk;"1998 -
                            

                                                                                                                                                                                                            Fransa"
1309;Taxi 2;7.9;Aksiyon;Gérard Krawczyk;599;976 kullan?c? Taksi 2 filmini izledi;567 kullan?c?n?n favori filmi;82dk;"2000 -
                            

                                                                                                                                                                                                            Fransa"
1164;Taxi 3;7.8;Aksiyon;Gérard Krawczyk;684;1022 kullan?c? Taksi 3 filmini izledi;642 kullan?c?n?n favori filmi;82dk;"2003 -
                            

                                                                                                                                                                                                            Fransa"
523;Taxi Driver;8.3;Dram;Martin Scorsese;1307;1483 kullan?c? Taksi ?oförü filmini izledi;1436 kullan?c?n?n favori filmi;114dk;"1976 -
                            

                                                                                                                                                                                                            ABD"
1007;Tears Of The Sun;7.9;Aksiyon;Antoine Fuqua;790;881 kullan?c? Güne?in Gözya?lar? filmini izledi;760 kullan?c?n?n favori filmi;121dk;"2003 -
                            

                                                                                                                                                                                                            ABD"
711;Ted;7.6;Fantastik;Seth MacFarlane;1494;2733 kullan?c? Ay? Teddy filmini izledi;1076 kullan?c?n?n favori filmi;107dk;"2012 -
                            

                                                                                                                                                                                                            ABD"
2401;Ted 2;7.3;Fantastik;Seth MacFarlane;361;733 kullan?c? Ay? Teddy 2 filmini izledi;253 kullan?c?n?n favori filmi;115dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
1634;Teenage Mutant Ninja Turtles;7.5;Bilim Kurgu;Jonathan Liebesman;594;1024 kullan?c? Ninja Kaplumba?alar filmini izledi;428 kullan?c?n?n favori filmi;101dk;"2014 -
                            

                                                                                                                                                                                                            ABD"
2138;Tenku No Shiro Rapyuta;8.3;Animasyon;Hayao Miyazaki;298;334 kullan?c? Gökteki Kale filmini izledi;300 kullan?c?n?n favori filmi;125dk;"1986 -
                            

                                                                                                                                                                                                            Japonya"
268;Terminator 2: Judgment Day;8.7;Bilim Kurgu;James Cameron;1986;2793 kullan?c? Terminatör 2: Mah?er Günü filmini izledi;2490 kullan?c?n?n favori filmi;156dk;"1991 -
                            

                                                                                                                                                                                                            Fransa
                                                                         ,                                                                                                                                                 ABD"
457;Terminator 3: Rise of the Machines;8.0;Bilim Kurgu;Jonathan Mostow;1425;2029 kullan?c? Terminatör 3: Makinelerin Yükseli?i filmini izledi;1640 kullan?c?n?n favori filmi;109dk;"2003 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
741;Terminator: Genesis;7.5;Bilim Kurgu;Alan Taylor;632;1163 kullan?c? Terminator: Genisys filmini izledi;1044 kullan?c?n?n favori filmi;126dk;"2015 -
                            

                                                                                                                                                                                                            ABD"
250;Terminator: Salvation;7.8;Bilim Kurgu;McG;2558;2629 kullan?c? Terminatör 4: Kurtulu? filmini izledi;2603 kullan?c?n?n favori filmi;115dk;"2009 -
                            

                                                                                                                                                                                                            Almanya
                                                                         ,                                                                                                                                                 ?ngiltere
                                                                         ,                                                                                                                                                 ABD"
1615;Texas Chainsaw 3D;7.2;Gerilim;John Luessenhop;590;782 kullan?c? Teksas Katliam? 3D filmini izledi;436 kullan?c?n?n favori filmi;92dk;"2013 -
                            

                                                                                                                                                                                                            ABD"
1998;The 13th Warrior;7.9;Aksiyon;John McTiernan;450;416 kullan?c? 13. Sava?ç? filmini izledi;331 kullan?c?n?n favori filmi;102dk;"1999 -
                            

                                                                                                                                                                                                            ABD"
1842;The 40 Year Old Virgin;7.4;Komedi;Judd Apatow;463;611 kullan?c? 40 Y?ll?k Bekar filmini izledi;369 kullan?c?n?n favori filmi;116dk;"2005 -
                            

                                                                                                                                                                                                            ABD"
2464;The Accidental Husband;7.5;Komedi;Griffin Dunne;322;292 kullan?c? Kazara Koca filmini izledi;242 kullan?c?n?n favori filmi;90dk;"2008 -
                            

                                                                                                                                                                                                            ?rlanda
                                                                         ,                                                                                                                                                 ABD"
