;Name;Worldwide;Domestic;Duration;Year;Country;Director;Top_Director;Director_Category;Continent_ABD;Continent_Asia;Continent_Australia;Continent_Europe;Continent_Multi Nation;Continent_North America;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Savas
66;Les Misérables;54606372;330181;158;2012;Multi Nation;Tom Hooper;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
67;Hush;13605304;13583690;91;2008;?ngiltere;Mark Tonderai;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
68;Hush;13605304;13583690;81;2016;ABD;Mike Flanagan;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
69;The Mummy;155563437;155385488;110;2017;Multi Nation;Alex Kurtzman;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
70;The Mummy;409231607;80227895;110;2017;Multi Nation;Alex Kurtzman;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
71;Life;73475268;64016268;104;2017;ABD;Daniel Espinosa;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
72;Life;100541806;30234022;104;2017;ABD;Daniel Espinosa;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
73;Sunshine;7607860;5096267;107;2007;?ngiltere;Danny Boyle;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
74;Sunshine;34806360;3675753;107;2007;?ngiltere;Danny Boyle;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
75;Flawless;4488529;4488529;108;2007;Multi Nation;Michael Radford;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
76;Cast Away;429632142;233632142;143;2000;ABD;Robert Zemeckis;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
77;What Women Want;374111707;182811707;127;2000;ABD;Nancy Meyers;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
78;Dinosaur;349822765;137748063;82;2000;ABD;"Ralph Zondag
                                        ,                                                                                                                     Eric Leighton";0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
79;How the Grinch Stole Christmas;345141403;260044825;104;2000;Multi Nation;Ron Howard;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
80;Meet the Parents;330444045;166244045;108;2000;ABD;Jay Roach;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
81;The Perfect Storm;328718434;182618434;130;2000;ABD;Wolfgang Petersen;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
82;X-Men;296339528;157299718;104;2000;ABD;Bryan Singer;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
83;What Lies Beneath;291420351;155464351;130;2000;ABD;"Robert Zemeckis
                                        ,                                                                                                                     Sarah Kernochan";0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
84;Scary Movie;278019771;157019771;88;2000;ABD;Keenen Ivory Wayans;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
85;Charlie's Angels;264105545;125305545;98;2000;ABD;McG;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
86;Charlie's Angels;73279888;17803077;98;2000;ABD;McG;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
87;Erin Brockovich;256271286;125595205;131;2000;ABD;Steven Soderbergh;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
88;Unbreakable;248118121;95011339;106;2000;ABD;M. Night Shyamalan;0;3;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
89;Chicken Run;224834564;106834564;84;2000;Multi Nation;"Peter Lord
                                        ,                                                                                                                     Nick Park";0;3;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
90;Vertical Limit;215663859;69243859;124;2000;Multi Nation;Martin Campbell;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
91;The Patriot;215294342;113330342;165;2000;Multi Nation;Roland Emmerich;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
92;Miss Congeniality;212742720;106807667;111;2000;ABD;Donald Petrie;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
93;Traffic;207515725;124115725;147;2000;Multi Nation;Steven Soderbergh;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
94;Hollow Man;190213455;73209340;112;2000;Multi Nation;Paul Verhoeven;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
95;102 Dalmatians;183611771;66957026;100;2000;ABD;Kevin Lima;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
96;Big Momma's House;173959438;117559438;98;2000;Multi Nation;Raja Gosnell;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
97;The Emperor's New Groove;169327687;89302687;75;2000;ABD;Mark Dindal;0;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
98;Nutty Professor II: The Klumps;166339890;123309890;106;2000;ABD;Peter Segal;0;3;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99;Scream 3;161834276;89143175;116;2000;ABD;Wes Craven;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
100;Chocolat;152699946;71509363;121;2000;Multi Nation;Lasse Hallström;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
101;The Beach;144056873;39785027;119;2000;Multi Nation;Danny Boyle;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
102;U-571;127666415;77122415;116;2000;Multi Nation;Jonathan Mostow;0;3;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
103;Road Trip;119754278;68540777;93;2000;ABD;Todd Phillips;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
104;Coyote Ugly;113916474;60786269;100;2000;ABD;David McNally;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
105;Final Destination;112880294;53331147;98;2000;ABD;James Wong;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
106;The Kid;110317580;69691949;104;2000;ABD;Jon Turteltaub;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
107;Billy Elliot;109280263;21995263;110;2000;Multi Nation;Stephen Daldry;0;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
108;Shaft;107196498;70334258;99;2000;Multi Nation;John Singleton;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
109;Shaft;21360215;21360215;99;2000;Multi Nation;John Singleton;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
110;The Whole Nine Yards;106371651;57262492;98;2000;Multi Nation;Jonathan Lynn;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
111;The Cell;104155843;61334059;107;2000;Multi Nation;Tarsem Singh;0;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
112;Shanghai Noon;99274467;56937502;110;2000;Multi Nation;Tom Dey;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
113;The 6th Day;96085477;34604280;123;2000;ABD;Roger Spottiswoode;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
114;Romeo Must Die;91036760;55973336;115;2000;ABD;Andrzej Bartkowiak;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
115;Bring It On;90449929;68379000;98;2000;ABD;Peyton Reed;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
116;Bedazzled;90383208;37886980;93;2000;Multi Nation;Harold Ramis;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
117;Snatch;83557872;30328156;103;2000;Multi Nation;Guy Ritchie;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
118;Finding Forrester;80049764;51804714;136;2000;ABD;Gus Van Sant;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
119;Dude, Where's My Car?;73180723;46729800;83;2000;ABD;Danny Leiner;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
120;O Brother, Where Art Thou?;71868327;45512588;107;2000;Multi Nation;Joel Coen;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
121;Frequency;68106245;45010278;118;2000;ABD;Gregory Hoblit;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
122;28 Days;62198945;37170488;103;2000;ABD;Betty Thomas;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
123;Taxi 2;60726164;626164;82;2000;Fransa;Gérard Krawczyk;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
