;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
896;1070;The Fate of the Furious;136;2017;ABD;1236005118;"Gary Scott Thompson
                                        ";13 Nisan 2017;Nisan;spring;F. Gary Gray;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
897;1071;Safe;94;2012;ABD;41564670;Boaz Yakin;11 May?s 2012;May?s;spring;Boaz Yakin;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
900;1074;Wedding Crashers;119;2005;ABD;288467645;"Bob Fisher
                                        ";30 Eylül 2005;Eylül;autumn;David Dobkin;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
902;1077;The Grudge;92;2004;ABD;187281115;"Takashi Shimizu
                                        ";17 Aral?k 2004;Aral?k;winter;Takashi Shimizu;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
903;1078;Batman v Superman: Dawn of Justice;152;2016;Multi Nation;874360194;"David S. Goyer
                                        ";25 Mart 2016;Mart;spring;Zack Snyder;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
905;1080;Shark Tale;90;2004;ABD;374583879;"Michael J. Wilson
                                        ";5 Kas?m 2004;Kas?m;autumn;Vicky Jenson;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
908;1084;The Village;108;2004;ABD;256697520;M. Night Shyamalan;19 Kas?m 2004;Kas?m;autumn;M. Night Shyamalan;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
910;1086;Les Misérables;158;2012;Multi Nation;14096321;"Alain Boublil
                                        ";1 Mart 2013;Mart;spring;Tom Hooper;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
911;1088;Dogville;178;2003;Multi Nation;16680836;Lars von Trier;5 Aral?k 2003;Aral?k;winter;Lars von Trier;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
912;1090;Bangkok Dangerous;99;2008;Multi Nation;42487390;"Jason Richman
                                        ";31 Ekim 2008;Ekim;autumn;Oxide Pang Chun;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
