;Unnamed: 0;Name;Duration;Year;Country;Worldwide;Scenarist;Date;Month;Season;Director;Top_Director;Director_Category;DirectorRevenueRange;MovieType_Aile;MovieType_Aksiyon;MovieType_Animasyon;MovieType_Belgesel;MovieType_Bilim Kurgu;MovieType_Dram;MovieType_Fantastik;MovieType_Gerilim;MovieType_Gizem;MovieType_Komedi;MovieType_Korku;MovieType_Macera;MovieType_Western
0;1;Inception;148;2010;Multi Nation;828258695;Christopher Nolan;30 Temmuz 2010;Temmuz;summer;Christopher Nolan;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
1;3;The Prestige;130;2006;Multi Nation;109676311;"Christopher Nolan
                                        ";22 Aral?k 2006;Aral?k;winter;Christopher Nolan;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2;6;V For Vendetta;134;2006;Multi Nation;132511035;"Lilly Wachowski
                                        ";31 Mart 2006;Mart;spring;James McTeigue;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
3;7;The Lord of the Rings: The Return of the King;263;2003;ABD;1140682011;"Fran Walsh
                                        ";19 Aral?k 2003;Aral?k;winter;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
4;9;The Lord of the Rings: The Two Towers;235;2002;ABD;936689735;"Fran Walsh
                                        ";20 Aral?k 2002;Aral?k;winter;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
5;10;A Beautiful Mind;135;2001;ABD;313542341;Akiva Goldsman;8 Mart 2002;Mart;spring;Ron Howard;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
6;11;The Curious Case Of Benjamin Button;162;2008;ABD;335802786;"Eric Roth
                                        ";6 ?ubat 2009;?ubat;winter;David Fincher;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
7;12;I Am Legend;100;2007;ABD;585410052;"Mark Protosevich
                                        ";25 Ocak 2008;Ocak;winter;Francis Lawrence;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
8;13;The Dark Knight;152;2008;Multi Nation;1003845358;"Christopher Nolan
                                        ";25 Temmuz 2008;Temmuz;summer;Christopher Nolan;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
9;14;Pirates Of The Caribbean: The Curse Of The Black Pearl;143;2003;ABD;654264015;"Ted Elliott
                                        ";31 Ekim 2003;Ekim;autumn;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;15;The Lord of the Rings: The Fellowship of the Ring;228;2001;ABD;880839846;"Fran Walsh
                                        ";22 Eylül 2023;Eylül;autumn;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
11;16;Avatar;162;2009;Multi Nation;2743577587;James Cameron;23 Eylül 2022;Eylül;autumn;James Cameron;1;3;4;0;0;0;0;1;0;0;0;0;0;0;0;0
12;18;Pirates of the Caribbean: Dead Man's Chest;151;2006;ABD;1066179725;"Ted Elliott
                                        ";14 Temmuz 2006;Temmuz;summer;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13;19;Pirates of the Caribbean: At World's End;169;2007;ABD;960996492;"Ted Elliott
                                        ";25 May?s 2007;May?s;spring;Gore Verbinski;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
14;20;The Pianist;150;2002;Multi Nation;120072577;Ronald Harwood;28 ?ubat 2003;?ubat;winter;Roman Polanski;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
15;21;Gladiator;171;2000;Multi Nation;9223441;"John Logan
                                        ";19 May?s 2000;May?s;spring;Ridley Scott;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;23;3 Idiots;170;2009;Hindistan;60262836;"Rajkumar Hirani
                                        ";9 Kas?m 2009;Kas?m;autumn;Rajkumar Hirani;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
17;24;Twilight;122;2008;ABD;15055091;Melissa Rosenberg;16 Ocak 2009;Ocak;winter;Catherine Hardwicke;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
18;25;The Butterfly Effect;113;2004;Multi Nation;96693417;"Eric Bress
                                        ";9 Nisan 2004;Nisan;spring;Eric Bress;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
19;26;Slumdog Millionaire;120;2008;?ngiltere;378410113;"Simon Beaufoy
                                        ";27 ?ubat 2009;?ubat;winter;Danny Boyle;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
20;27;Harry Potter and the Goblet of Fire;157;2005;Multi Nation;895921036;"J.K. Rowling
                                        ";18 Kas?m 2005;Kas?m;autumn;Mike Newell;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
22;29;The Pursuit of Happyness;117;2006;ABD;307127625;Steve Conrad;2 Mart 2007;Mart;spring;Gabriele Muccino;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
24;31;Shutter Island;138;2010;ABD;294804195;Laeta Kalogridis;12 Mart 2010;Mart;spring;Martin Scorsese;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
25;32;Blood Diamond;143;2006;Multi Nation;171720398;"Charles Leavitt
                                        ";2 ?ubat 2007;?ubat;winter;Edward Zwick;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;33;Harry Potter and the Half-Blood Prince;153;2009;Multi Nation;933959197;Steve Kloves;15 Temmuz 2009;Temmuz;summer;David Yates;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
27;35;Harry Potter and the Order of the Phoenix;138;2007;Multi Nation;941676843;Michael Goldenberg;10 A?ustos 2007;A?ustos;summer;David Yates;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
28;36;Troy;196;2004;Multi Nation;497409852;David Benioff;14 May?s 2004;May?s;spring;Wolfgang Petersen;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
29;38;The Illusionist;110;2006;ABD;87892388;"Neil Burger
                                        ";18 A?ustos 2006;A?ustos;summer;Neil Burger;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
30;39;Harry Potter and The Prisoner of Azkaban;141;2004;Multi Nation;795634069;Steve Kloves;4 Haziran 2004;Haziran;summer;Alfonso Cuarón;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
31;40;300;117;2006;Multi Nation;456068181;"Zack Snyder
                                        ";16 Mart 2007;Mart;spring;Zack Snyder;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
32;41;Harry Potter and the Sorcerer's Stone;159;2001;Multi Nation;974755371;"J.K. Rowling
                                        ";1 ?ubat 2002;?ubat;winter;Chris Columbus;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
33;42;50 First Dates;99;2004;ABD;198413428;George Wing;30 Nisan 2004;Nisan;spring;Peter Segal;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
35;44;Ice Age;81;2002;ABD;383257136;"Michael J. Wilson
                                        ";31 Ocak 2003;Ocak;winter;Carlos Saldanha;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;45;The Twilight Saga: New Moon;131;2009;ABD;709827462;Melissa Rosenberg;20 Kas?m 2009;Kas?m;autumn;Chris Weitz;0;3;1;0;0;0;0;0;1;0;0;0;0;0;0;0
37;46;Eternal Sunshine of the Spotless Mind;108;2004;ABD;74036715;"Michel Gondry
                                        ";26 May?s 2006;May?s;spring;Michel Gondry;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
38;47;Wanted;110;2008;Multi Nation;342463063;"Chris Morgan
                                        ";27 Haziran 2008;Haziran;summer;Timur Bekmambetov;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
39;48;Harry Potter and the Chamber of Secrets;175;2002;Multi Nation;878979634;Steve Kloves;29 Kas?m 2002;Kas?m;autumn;Chris Columbus;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0
40;52;Ice Age: Dawn of the Dinosaurs;94;2009;ABD;886686817;"Michael Berg
                                        ";1 Temmuz 2009;Temmuz;summer;Carlos Saldanha;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
41;53;Pirates Of The Caribbean: On Stranger Tides;137;2011;Multi Nation;1045713802;"Ted Elliott
                                        ";19 May?s 2011;May?s;spring;Rob Marshall;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
42;54;The Twilight Saga: Eclipse;124;2010;ABD;698491347;"Melissa Rosenberg
                                        ";30 Haziran 2010;Haziran;summer;David Slade;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
43;55;The Departed;151;2006;Multi Nation;291465034;"William Monahan
                                        ";24 Kas?m 2006;Kas?m;autumn;Martin Scorsese;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
44;56;Yes Man;104;2008;ABD;223241637;"Nicholas Stoller
                                        ";16 Ocak 2009;Ocak;winter;Peyton Reed;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
45;57;P.S. I Love You;126;2007;ABD;156835339;"Richard LaGravenese
                                        ";15 ?ubat 2008;?ubat;winter;Richard LaGravenese;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
46;58;Catch Me If You Can;190;2002;ABD;352114312;Jeff Nathanson;31 Ocak 2003;Ocak;winter;Steven Spielberg;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
47;59;Sherlock Holmes: A Game Of Shadows;129;2011;Multi Nation;543848418;"Michele Mulroney
                                        ";16 Aral?k 2011;Aral?k;winter;Guy Ritchie;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
50;63;Transformers;143;2007;ABD;709709780;"Alex Kurtzman
                                        ";6 Temmuz 2007;Temmuz;summer;Michael Bay;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0
51;65;The Hangover;100;2009;Multi Nation;468812793;"Jon Lucas
                                        ";10 Temmuz 2009;Temmuz;summer;Todd Phillips;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0
52;66;Mr. & Mrs. Smith;120;2005;Multi Nation;487287646;Simon Kinberg;10 Haziran 2005;Haziran;summer;Doug Liman;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
53;67;Saw;103;2004;ABD;103096345;"Leigh Whannell
                                        ";29 Ekim 2004;Ekim;autumn;James Wan;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0
56;72;The Number 23;98;2007;Multi Nation;77677553;Fernley Phillips;2 Mart 2007;Mart;spring;Joel Schumacher;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
57;73;The Dark Knight Rises;165;2012;ABD;1084939099;"Christopher Nolan
                                        ";27 Temmuz 2012;Temmuz;summer;Christopher Nolan;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
59;76;2012;158;2009;ABD;769679473;"Roland Emmerich
                                        ";13 Kas?m 2009;Kas?m;autumn;Roland Emmerich;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
61;78;Iron Man;127;2008;ABD;585366247;"Stan Lee
                                        ";2 May?s 2008;May?s;spring;Jon Favreau;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
62;79;The Avengers;145;2012;ABD;23384939;"Zak Penn
                                        ";4 May?s 2012;May?s;spring;Joss Whedon;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
63;80;Charlie And The Chocolate Factory;115;2005;Multi Nation;474968763;John August;12 A?ustos 2005;A?ustos;summer;Tim Burton;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
64;81;Fast Five;130;2011;ABD;626137675;"Chris Morgan
                                        ";29 Nisan 2011;Nisan;spring;Justin Lin;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
65;82;Hancock;92;2008;ABD;629443428;"Vince Gilligan
                                        ";4 Temmuz 2008;Temmuz;summer;Peter Berg;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
66;83;Perfume: The Story of a Murderer;147;2006;Multi Nation;135039924;"Tom Tykwer
                                        ";16 ?ubat 2007;?ubat;winter;Tom Tykwer;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
67;85;Click;107;2006;ABD;240685326;"Steve Koren
                                        ";22 Eylül 2006;Eylül;autumn;Frank Coraci;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
68;86;Prince Of Persia: The Sands Of Time;116;2010;ABD;336365676;"Boaz Yakin
                                        ";21 May?s 2010;May?s;spring;Mike Newell;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
69;87;Sweeney Todd: The Demon Barber of Fleet Street;116;2007;Multi Nation;153383627;"John Logan
                                        ";15 ?ubat 2008;?ubat;winter;Tim Burton;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
70;88;Deja Vu;126;2006;Multi Nation;180557550;"Terry Rossio
                                        ";5 Ocak 2007;Ocak;winter;Tony Scott;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
71;89;Spider-Man 3;195;2007;ABD;894983373;"Sam Raimi
                                        ";4 May?s 2007;May?s;spring;Sam Raimi;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
72;90;Law Abiding Citizen;109;2009;Multi Nation;127944208;Kurt Wimmer;1 Ocak 2010;Ocak;winter;F. Gary Gray;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
73;91;Memento;113;2000;ABD;39723096;"Christopher Nolan
                                        ";27 Temmuz 2001;Temmuz;summer;Christopher Nolan;1;3;1;0;0;0;0;0;0;0;1;0;0;0;0;0
74;92;The Last Samurai;154;2003;Multi Nation;454627263;"Edward Zwick
                                        ";6 ?ubat 2004;?ubat;winter;Edward Zwick;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
75;93;Black Swan;108;2010;ABD;329398046;"Mark Heyman
                                        ";25 ?ubat 2011;?ubat;winter;Darren Aronofsky;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
77;95;Spider-Man;189;2002;ABD;821708551;"David Koepp
                                        ";14 Haziran 2002;Haziran;summer;Sam Raimi;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
78;96;The Hobbit: An Unexpected Journey;169;2012;ABD;1017003568;"Guillermo del Toro
                                        ";14 Aral?k 2012;Aral?k;winter;Peter Jackson;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
79;97;The Fast and the Furious: Tokyo Drift;104;2006;Multi Nation;158964610;"Chris Morgan
                                        ";28 Temmuz 2006;Temmuz;summer;Justin Lin;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
80;98;Seven Pounds;123;2008;ABD;169748929;Grant Nieporte;13 Mart 2009;Mart;spring;Gabriele Muccino;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
82;100;Up;96;2009;ABD;735099082;"Pete Docter
                                        ";16 Ekim 2009;Ekim;autumn;Pete Docter;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
83;101;Awake;84;2007;ABD;32730062;Joby Harold;21 Mart 2008;Mart;spring;Joby Harold;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
84;102;Apocalypto;139;2006;Multi Nation;120673227;"Mel Gibson
                                        ";23 Mart 2007;Mart;spring;Mel Gibson;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
85;103;Requiem For A Dream;102;2000;ABD;7390108;"Darren Aronofsky
                                        ";27 Ekim 2000;Ekim;autumn;Darren Aronofsky;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
86;104;21;123;2008;ABD;159808370;"Peter Steinfeld
                                        ";6 Haziran 2008;Haziran;summer;Robert Luketic;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
88;106;17 Again;102;2009;ABD;136316880;"Jason Filardi
                                        ";19 Haziran 2009;Haziran;summer;Burr Steers;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
89;107;Iron Man 2;125;2010;ABD;623933331;"Justin Theroux
                                        ";7 May?s 2010;May?s;spring;Jon Favreau;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
90;109;Batman Begins;140;2005;Multi Nation;373443774;"David S. Goyer
                                        ";17 Haziran 2005;Haziran;summer;Christopher Nolan;1;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
92;111;Taken;94;2008;Multi Nation;226837760;"Luc Besson
                                        ";9 May?s 2008;May?s;spring;Pierre Morel;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
93;112;Bruce Almighty;160;2003;ABD;484592874;"Steve Koren
                                        ";5 Eylül 2003;Eylül;autumn;Tom Shadyac;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0
97;116;Resident Evil: Extinction;94;2007;Multi Nation;147717833;Paul W.S. Anderson;19 Ekim 2007;Ekim;autumn;Russell Mulcahy;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
98;118;X-Men Origins: Wolverine;107;2009;ABD;373062864;"David Benioff
                                        ";1 May?s 2009;May?s;spring;Gavin Hood;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
99;119;Knowing;121;2009;Multi Nation;183658498;"Juliet Snowden
                                        ";10 Nisan 2009;Nisan;spring;Alex Proyas;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
100;120;1408;104;2007;ABD;132963417;"Matt Greenberg
                                        ";28 Eylül 2007;Eylül;autumn;Mikael Håfström;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
101;121;Constantine;121;2005;Multi Nation;230884728;"Kevin Brodbin
                                        ";11 Mart 2005;Mart;spring;Francis Lawrence;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
102;122;Salt;100;2010;ABD;293503354;Kurt Wimmer;6 A?ustos 2010;A?ustos;summer;Phillip Noyce;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
104;124;The Others;101;2001;Multi Nation;209947037;Alejandro Amenábar;28 Aral?k 2001;Aral?k;winter;Alejandro Amenábar;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
105;125;Sweet November;119;2001;ABD;65754228;"Herman Raucher
                                        ";27 Nisan 2001;Nisan;spring;Pat O'Connor;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
106;126;Death Race;105;2008;Multi Nation;76014335;Paul W.S. Anderson;17 Ekim 2008;Ekim;autumn;Paul W.S. Anderson;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
107;127;Alice in Wonderland;108;2010;ABD;1025467110;Linda Woolverton;5 Mart 2010;Mart;spring;Tim Burton;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
108;128;127 Hours;94;2010;Multi Nation;60738797;"Danny Boyle
                                        ";18 ?ubat 2011;?ubat;winter;Danny Boyle;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
109;129;The Expendables;103;2010;Multi Nation;274470394;"Sylvester Stallone
                                        ";13 A?ustos 2010;A?ustos;summer;Sylvester Stallone;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
110;130;The Hunger Games;142;2012;ABD;694394724;"Suzanne Collins
                                        ";23 Mart 2012;Mart;spring;Gary Ross;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
111;131;Resident Evil;100;2002;Multi Nation;102984862;Paul W.S. Anderson;20 Eylül 2002;Eylül;autumn;Paul W.S. Anderson;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
112;132;Spider-Man 2;202;2004;ABD;788618317;"Alfred Gough
                                        ";2 Temmuz 2004;Temmuz;summer;Sam Raimi;0;3;1;0;1;0;0;0;0;0;0;0;0;0;0;0
113;133;Orphan;122;2009;Multi Nation;77912251;"Alex Mace
                                        ";4 Eylül 2009;Eylül;autumn;Jaume Collet-Serra;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0
114;134;Ratatouille;111;2007;ABD;623726085;"Brad Bird
                                        ";24 A?ustos 2007;A?ustos;summer;Brad Bird;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
115;137;Resident Evil: Afterlife;97;2010;Multi Nation;300228084;Paul W.S. Anderson;10 Eylül 2010;Eylül;autumn;Paul W.S. Anderson;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
116;141;The Tourist;103;2010;Multi Nation;278780441;"Florian Henckel von Donnersmarck
                                        ";10 Aral?k 2010;Aral?k;winter;Florian Henckel von Donnersmarck;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
117;142;Final Destination;98;2000;ABD;112880294;"Glen Morgan
                                        ";17 Mart 2000;Mart;spring;James Wong;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0
121;146;Kingdom Of Heaven;144;2005;Multi Nation;218122627;William Monahan;6 May?s 2005;May?s;spring;Ridley Scott;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
122;147;The Fast And The Furious;106;2001;Multi Nation;207283925;"David Ayer
                                        ";2 Kas?m 2001;Kas?m;autumn;Rob Cohen;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
124;149;The Amazing Spider-Man;136;2012;ABD;757930663;"Stan Lee
                                        ";6 Temmuz 2012;Temmuz;summer;Marc Webb;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
125;150;The Ugly Truth;96;2009;ABD;205298907;"Karen McCullah Lutz
                                        ";25 Eylül 2009;Eylül;autumn;Robert Luketic;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0
126;151;The Sorcerer's Apprentice;109;2010;ABD;215283742;"Lawrence Konner
                                        ";16 Temmuz 2010;Temmuz;summer;Jon Turteltaub;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
127;152;Thor;115;2011;ABD;449326618;"Zack Stentz
                                        ";29 Nisan 2011;Nisan;spring;Kenneth Branagh;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
128;153;Ghost Rider;114;2007;ABD;228738393;Mark Steven Johnson;16 ?ubat 2007;?ubat;winter;Mark Steven Johnson;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
129;154;Limitless;105;2011;ABD;161849455;"Leslie Dixon
                                        ";18 Mart 2011;Mart;spring;Neil Burger;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
130;156;Inglourious Basterds;153;2009;Multi Nation;321455689;Quentin Tarantino;21 A?ustos 2009;A?ustos;summer;Quentin Tarantino;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
131;157;The Day After Tomorrow;124;2004;ABD;552639571;Roland Emmerich;28 May?s 2004;May?s;spring;Roland Emmerich;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
134;161;The Da Vinci Code;149;2006;ABD;760006945;Akiva Goldsman;19 May?s 2006;May?s;spring;Ron Howard;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0
138;166;Corpse Bride;77;2005;ABD;118090836;"Tim Burton
                                        ";18 Kas?m 2005;Kas?m;autumn;Tim Burton;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0
140;168;Hitch;118;2005;ABD;371594210;Kevin Bisch;18 Mart 2005;Mart;spring;Andy Tennant;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
141;169;The Matrix Revolutions;129;2003;ABD;427343298;"Lilly Wachowski
                                        ";5 Kas?m 2003;Kas?m;autumn;Lilly Wachowski;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
143;172;The Chronicles of Narnia: The Lion, The Witch and the Wardrobe;143;2005;Multi Nation;745013115;"Andrew Adamson
                                        ";13 Ocak 2006;Ocak;winter;Andrew Adamson;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
144;173;Sin City;124;2005;ABD;158733820;Frank Miller;15 Temmuz 2005;Temmuz;summer;Frank Miller;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
145;174;The Devil Wears Prada;109;2006;Multi Nation;326705902;Aline Brosh McKenna;6 Ekim 2006;Ekim;autumn;David Frankel;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
146;175;Resident Evil: Apocalypse;94;2004;Multi Nation;129342769;Paul W.S. Anderson;3 Aral?k 2004;Aral?k;winter;Alexander Witt;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
149;181;Night At The Museum;108;2006;Multi Nation;574480841;Thomas Lennon;29 Aral?k 2006;Aral?k;winter;Shawn Levy;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
150;182;Final Destination 3;93;2006;Multi Nation;118890272;"Glen Morgan
                                        ";28 Nisan 2006;Nisan;spring;James Wong;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
151;183;500 Days Of Summer;95;2009;ABD;60722734;"Scott Neustadter
                                        ";9 Ekim 2009;Ekim;autumn;Marc Webb;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
152;184;The Terminal;129;2004;ABD;218685607;"Jeff Nathanson
                                        ";10 Eylül 2004;Eylül;autumn;Steven Spielberg;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0
153;185;The Lake House;99;2006;Multi Nation;114830111;David Auburn;4 A?ustos 2006;A?ustos;summer;Alejandro Agresti;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
155;187;The Chronicles of Narnia: Prince Caspian;150;2008;Multi Nation;419665568;"Andrew Adamson
                                        ";11 Temmuz 2008;Temmuz;summer;Andrew Adamson;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
156;188;X-Men: The Last Stand;104;2006;ABD;460435291;"Zak Penn
                                        ";26 May?s 2006;May?s;spring;Brett Ratner;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
157;189;Percy Jackson & The Olympians: The Lightning Thief;118;2010;ABD;226497209;"Craig Titley
                                        ";19 ?ubat 2010;?ubat;winter;Chris Columbus;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0
158;190;Underworld;122;2003;Multi Nation;95708457;"Len Wiseman
                                        ";30 Ocak 2004;Ocak;winter;Len Wiseman;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
159;191;Public Enemies;140;2009;Multi Nation;214104620;"Michael Mann
                                        ";10 Temmuz 2009;Temmuz;summer;Michael Mann;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0
161;193;Shrek;90;2001;ABD;484409218;"Ted Elliott
                                        ";22 Haziran 2001;Haziran;summer;Andrew Adamson;0;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0
162;194;Ghajini;186;2008;Hindistan;38316584;"A.R. Murugadoss
                                        ";25 Aral?k 2008;Aral?k;winter;A.R. Murugadoss;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
163;195;The Transporter;92;2002;Multi Nation;43928932;"Luc Besson
                                        ";6 Aral?k 2002;Aral?k;winter;Corey Yuen;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
164;196;Van Helsing;132;2004;ABD;300157638;Stephen Sommers;7 May?s 2004;May?s;spring;Stephen Sommers;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0
165;197;The Matrix Reloaded;138;2003;ABD;739412035;"Lilly Wachowski
                                        ";16 May?s 2003;May?s;spring;Lilly Wachowski;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
166;198;The Final Destination;82;2009;ABD;186167139;"Eric Bress
                                        ";28 A?ustos 2009;A?ustos;summer;David R. Ellis;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0
167;199;Remember Me;113;2010;ABD;56032889;Will Fetters;30 Nisan 2010;Nisan;spring;Allen Coulter;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
168;201;Jumper;88;2008;Multi Nation;225132113;"David S. Goyer
                                        ";7 Mart 2008;Mart;spring;Doug Liman;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0
169;202;Million Dollar Baby;132;2004;Multi Nation;216763646;"Paul Haggis
                                        ";25 ?ubat 2005;?ubat;winter;Clint Eastwood;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0
